Podcast Name,Host,Audience Size (est.),Topic Fit,Frequency,How to Pitch,Submit/Contact URL,Email Pattern,LinkedIn (Host),Twitter (Host),YouTube,Past Guest Examples,Why Good Fit for Angel,Priority,Notes
AI in Business,Daniel Faggella,"15K+/ep",AI / Business Strategy / Enterprise AI,Weekly,"Email pitch; Daniel values business-focused AI perspectives",https://emerj.com/ai-podcast/,"daniel@emerj.com",https://www.linkedin.com/in/daboranfaggella/,@danfaggella,No,"Various AI executives and consultants","AI + Human Potential angle with real business context from portfolio companies",B,"Pitch AI adoption patterns from Angel Club founder community."
Gradient Dissent (Weights & Biases),Lukas Biewald,"15K+/ep",ML / AI / Engineering / Research,Weekly,"Email pitch; more technical audience",https://wandb.ai/fully-connected/gradient-dissent,"N/A",https://www.linkedin.com/in/lukasbiewald/,@l2k,Yes,"Various ML engineers and researchers","Less direct fit unless Angel has deep AI/ML portfolio investments to discuss",C,"Only pitch if there's a strong technical AI angle. Audience is ML engineers."
Pivot,Kara Swisher & Scott Galloway,"300K+/ep",Tech / Business / Politics / Media,2x/week,"Pitch via Vox Media; primarily news-driven with guest segments",https://podcasts.voxmedia.com/show/pivot,"N/A",https://www.linkedin.com/in/karaswisher/,@karaswisher @profgalloway,Yes,"Various tech executives and political figures","Kara champions women in tech. Media/entertainment + tech investing background is relevant to Pivot's range",A,"News-pegged guests preferred. Pitch around a current trend in AI, M&A, or startup funding."
Newcomer Podcast,Eric Newcomer,"20K+/ep",Venture Capital / Tech / Startups / Breaking News,Weekly,"Email pitch; Eric is a tech journalist focused on VC",https://www.newcomer.co/,"eric@newcomer.co",https://www.linkedin.com/in/ericnewcomer/,@EricNewcomer,No,"Various VCs and startup founders","VC/angel investing insider perspective. M&A advisory angle on tech deals",B,"Eric covers VC world closely. Pitch around deal dynamics or angel investing trends."
StrictlyVC,Connie Loizos,"15K+/ep",Venture Capital / Startups / Tech,Weekly,"Email pitch; Connie is a veteran VC journalist",N/A,"connie@strictlyvc.com",https://www.linkedin.com/in/connieloizos/,@cookie,No,"Various VCs and startup founders","Angel investing + women in VC/tech + M&A expertise = multiple angles for Connie's audience",B,"Connie values insider perspectives. Pitch something newsworthy or trend-based."
,,,,,,,,,,,,,,
=== TIER F: Business/Leadership/Personal Development ===,,,,,,,,,,,,,,
The GaryVee Audio Experience,Gary Vaynerchuk,"200K+/ep",Entrepreneurship / Marketing / Hustle / Social Media,Daily,"DM on social media or pitch via VaynerMedia",https://www.garyvaynerchuk.com/,"N/A",https://www.linkedin.com/in/garyvaynerchuk/,@garyvee,Yes - YouTube primary,"Various entrepreneurs and social media personalities","Gary loves serial entrepreneurs with real exits. 5 exits across different industries would excite him",B,"Gary responds to bold DMs. Lead with results: '5 exits, 40+ investments, 6400+ person community.'"
Impact Theory,Tom Bilyeu,"100K+/ep",Entrepreneurship / Mindset / Human Potential,2-3x/week,"Apply via website; Tom values human potential stories",https://impacttheory.com/contact/,"N/A",https://www.linkedin.com/in/tombilyeu/,@TomBilyeu,Yes - YouTube primary,"Tony Robbins, Lisa Nichols, various high performers","AI + HUMAN POTENTIAL. Tom's show is literally about human potential. Angel's thesis is the show's thesis",A,"Perfect thematic match. Pitch the AI + Human Potential angle with personal transformation story."
The Ed Mylett Show,Ed Mylett,"100K+/ep",Entrepreneurship / Peak Performance / Leadership,2x/week,"Apply via website; Ed books high-achieving entrepreneurs",https://www.edmylett.com/podcast,"team@edmylett.com",https://www.linkedin.com/in/edmylett/,@EdMylett,Yes - YouTube,"Various elite performers and entrepreneurs","5 exits = elite entrepreneur. The peak performance angle + serial success pattern fits Ed's brand",B,"Pitch the mental framework behind serial entrepreneurship and exits."
The James Altucher Show,James Altucher,"50K+/ep",Entrepreneurship / Investing / Ideas / Reinvention,2-3x/week,"Email pitch; James is accessible and books frequently",https://jamesaltucher.com/podcast/,"james@jamesaltucher.com",https://www.linkedin.com/in/jamesaltucher/,@jaltucher,No,"Various entrepreneurs, investors, and authors","James himself is a serial entrepreneur and investor. Peer-to-peer conversation about exits and investing",B,"James loves reinvention stories. Pitch the 'what I learned from 5 different industries' angle."
EO 360,Entrepreneurs' Organization,"10K+/ep",Entrepreneurship / Leadership / Peer Learning,Weekly,"Pitch via EO; membership-adjacent show",https://www.eonetwork.org/podcast/,"N/A",N/A,@aborentrepreneurs_org,No,"Various EO members and entrepreneurs","Angel Club parallels EO. Community building + serial entrepreneurship = core EO values",B,"If Angel is an EO member, even better. Pitch as community builder."
HBR IdeaCast,Harvard Business Review,"100K+/ep",Business / Management / Leadership / Strategy,Weekly,"Pitch via HBR editorial team; very selective",https://hbr.org/podcasts/ideacast,"ideacast@hbr.org",N/A,@HarvardBiz,No,"Various business leaders and professors","Angel's M&A expertise + community building + serial entrepreneurship = HBR-caliber insights",A,"Very credible platform. Pitch a research-backed insight or framework from your experience."
Beyond the Uniform,Justin Nassiri,"10K+/ep",Veterans in Business / Leadership / Entrepreneurship,Weekly,"Email pitch; focused on military veteran entrepreneurs",https://beyondtheuniform.org/podcast,"justin@beyondtheuniform.org",https://www.linkedin.com/in/justinnassiri/,@JustinNassiri,No,"Various veteran entrepreneurs","Only pitch if Angel has military connection. Otherwise skip.",C,"Only relevant if there's a veteran/military angle."
Business Wars,David Brown (Wondery),"100K+/ep",Business History / Competition / Strategy,Series format,"Pitch via Wondery/Amazon; narrative format with expert guests",https://wondery.com/shows/business-wars/,"N/A",N/A,@WonderyMedia,No,"Format uses narration + expert commentary","Angel could serve as expert commentator on M&A episodes or startup competition narratives",C,"Not a traditional guest spot but expert commentator role could work."
The Tony Robbins Podcast,Tony Robbins,"200K+/ep",Personal Development / Business / Performance,Irregular,"Pitch via Robbins Research International",https://www.tonyrobbins.com/podcast/,"N/A",https://www.linkedin.com/in/ajrobbins/,@TonyRobbins,Yes,"Various business leaders and thought leaders","Human potential is Tony's core message. Angel's AI + Human Potential thesis aligns",B,"Pitch the intersection of technology and human potential."
The Diary of a CEO,Steven Bartlett,"500K+/ep",Entrepreneurship / Psychology / Health / Conversations,2-3x/week,"Pitch via production team; Steven is UK-based, global audience",https://stevenbartlett.com/podcast,"N/A",https://www.linkedin.com/in/stevenbartlett/,@StevenBartlett,Yes - YouTube primary,"Various global entrepreneurs and thought leaders","5x exits story + human potential angle + women in tech = compelling for Steven's young entrepreneur audience",A,"Massive and growing show. Steven loves founder stories with emotional depth. Pitch personal journey."
,,,,,,,,,,,,,,
=== ADDITIONAL HIGH-VALUE TARGETS ===,,,,,,,,,,,,,,
The a]6z Podcast — Bio Eats World / American Dynamism,Various a16z partners,"30K+/ep",Biotech / American Innovation / Investing,Weekly,"Warm intro through a16z ecosystem",https://a16z.com/podcasts/,"N/A",N/A,@a16z,Yes,"Various founders in a16z portfolio areas","American Dynamism angle: building communities of founders who create real economic value",C,"Only if portfolio/thesis aligns with bio or American dynamism."
Equity (TechCrunch),Various TechCrunch reporters,"30K+/ep",VC / Startups / Deals / Tech News,2-3x/week,"Pitch via TechCrunch; news-focused with guest expert segments",https://techcrunch.com/tag/equity-podcast/,"equity@techcrunch.com",N/A,@EquityPod,No,"Various VCs, founders, and analysts","M&A advisory perspective on deals + angel investing trends = expert commentary role",B,"News-pegged pitching. When a relevant deal happens, pitch yourself as expert commentator."
Startup School (YC),Various YC partners,"50K+/ep",Startups / YC Methodology / Building,Series/seasonal,"Pitch via YC; primarily features YC partners and alums",N/A,"N/A",N/A,@ycombinator,Yes,"YC partners, YC alums","Angel's 40+ investments and 5 exits make her a qualified outside voice. Any YC investments in portfolio?",C,"Primarily YC ecosystem. Pitch if there's a YC connection."
The Hustle Daily Show,Various Hustle/HubSpot hosts,"20K+/ep",Business News / Startups / Trends,Daily (short),"Email pitch via HubSpot podcast team",https://thehustle.co/podcast,"N/A",N/A,@TheHustle,No,"Various business leaders (short format)","Short format expert commentary on startup/M&A trends",C,"Good for quick hits. Pitch around a specific trend or data point."
Founder's Journal,Alex Lieberman,"30K+/ep",Entrepreneurship / Founder Life / Building,3x/week,"Pitch via Morning Brew team; Alex features guest episodes",N/A,"alex@morningbrew.com",https://www.linkedin.com/in/alexlieberman/,@businessbarista,No,"Various founders","Alex built Morning Brew to acquisition — Angel's exit expertise resonates",B,"Pitch the 'building to exit' angle. Alex went through it himself."
The Full Ratchet,Nick Moran,"10K+/ep",VC / Angel Investing / Startups / Fundraising,Weekly,"Email pitch; Nick focuses specifically on early-stage investing",https://fullratchet.net/,"nick@newstackventures.com",https://www.linkedin.com/in/nickmoran/,@TheFullRatchet,No,"Various VCs, angels, and founders","This show IS about angel investing and VC. 40+ angel investments = deep expertise. Perfect fit",A,"Perfect topical fit. Pitch with specific angel investing frameworks and lessons."
Venture Unlocked,Samir Kaji,"15K+/ep",Venture Capital / LP/GP Dynamics / Fund Management,Weekly,"Email pitch; Samir values LP and emerging manager perspectives",https://ventureunlocked.substack.com/,"samir@allocatepartners.com",https://www.linkedin.com/in/samirkaji/,@Samirkaji,No,"Various GPs, LPs, and fund managers","Capital formation expertise + angel-to-fund evolution + LP perspectives from Angel Club",A,"Samir deeply covers the VC ecosystem. Pitch capital formation and the angel-to-fund pathway."
Village Global's Venture Stories,Erik Torenberg,"15K+/ep",Venture Capital / Ideas / Founders / Future,Weekly,"Email pitch; Erik values novel theses",N/A,"erik@villageglobal.vc",https://www.linkedin.com/in/eriktorenberg/,@ericktorenberg,No,"Marc Andreessen, various thought leaders","Future of angel investing + community-driven deal flow thesis",B,"Pitch a novel thesis. Erik loves big ideas and frameworks."
Techstars Podcast,Various Techstars,"10K+/ep",Accelerators / Startups / Mentorship,Weekly,"Pitch via Techstars comms team",https://www.techstars.com/podcast,"N/A",N/A,@techstars,No,"Various Techstars mentors and founders","Angel's community building + investing in early-stage = Techstars alignment",C,"Good if Angel has Techstars connections or portfolio overlap."
Dare to Lead,Brené Brown,"500K+/ep",Leadership / Vulnerability / Courage,Irregular,"Pitch via Brené's team; very selective",https://brenebrown.com/podcast/dare-to-lead/,"N/A",https://www.linkedin.com/in/brenabrown/,@BreneBrown,No,"Various leaders who demonstrate vulnerability","Angel's leadership journey through 5 exits including failures = vulnerability + courage narrative",A,"Extremely hard to book but transformative if achieved. Pitch the 'courage in serial entrepreneurship' angle."
Freakonomics Radio,Stephen Dubner,"300K+/ep",Economics / Hidden Side of Everything / Data,Weekly,"Pitch via Freakonomics production team; data-driven pitches preferred",https://freakonomics.com/contact/,"N/A",https://www.linkedin.com/in/stephendubner/,@freaborakonomics,No,"Various economists, researchers, unusual experts","Angel Club data (6400+ founders) = 'hidden economics of startup communities.' M&A patterns others miss",B,"Data angle is essential. Pitch a surprising finding from Angel Club or investing experience."
How to Money,Joel Larsgaard & Matt Altmix,"30K+/ep",Personal Finance / Investing / Money Habits,Weekly,"Email pitch via website",https://www.howtomoney.com/contact,"N/A",https://www.linkedin.com/in/joellarsgaard/,@JoelAborLarsgaard,No,"Various financial experts","Angel investing for beginners angle. How to evaluate startup investments as an individual",B,"Pitch 'how regular people can become angel investors' angle."
Fintech Insider,Simon Taylor & Various,"15K+/ep",Fintech / Banking / Financial Innovation,Weekly,"Email pitch; 11:FS production team",https://11fs.com/podcasts,"N/A",https://www.linkedin.com/in/sytaylor/,@sytabaylor,No,"Various fintech founders and executives","Capital formation + fintech investments from portfolio",C,"Only if Angel has fintech portfolio companies."
