Name,Email,Location (City),Location (State),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Leads Rounds?,Typical Check Size,Fund Size
Salim Arda,,Istanbul,,Turkey,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.tvf.com.tr,Turkey Wealth Fund,No,$50M-$500M,$40B+
Nigeria Sovereign Investment Authority (NSIA),,Abuja,,Nigeria,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Agriculture, Infrastructure",,https://www.nsia.com.ng,NSIA,Yes,$5M-$50M,$3B+
Uche Orji,,Abuja,,Nigeria,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/ucheorji/,https://www.nsia.com.ng,NSIA,Yes,$5M-$50M,$3B+
Stella Ojekwe-Onyejeli,,Abuja,,Nigeria,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure",,https://www.nsia.com.ng,NSIA,No,$5M-$50M,$3B+
Pula Fund (Botswana),,Gaborone,,Botswana,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Diversified",,https://www.bankofbotswana.bw,Pula Fund (Bank of Botswana),No,$10M-$50M,$5B+
Moses Pelaelo,,Gaborone,,Botswana,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Diversified",,https://www.bankofbotswana.bw,Pula Fund,No,$10M-$50M,$5B+
Ghana Heritage Fund,,Accra,,Ghana,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure",,https://www.mofep.gov.gh,Ghana Heritage Fund (GIIF),No,$5M-$25M,$1B+
John Kumah,,Accra,,Ghana,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.mofep.gov.gh,Ghana Heritage Fund,No,$5M-$25M,$1B+
Fundo Soberano de Angola (FSDEA),,Luanda,,Angola,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Agriculture, Infrastructure",,https://www.fundosoberano.ao,Fundo Soberano de Angola,Yes,$5M-$50M,$5B+
José Filomeno dos Santos,,Luanda,,Angola,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.fundosoberano.ao,Fundo Soberano de Angola,No,$5M-$50M,$5B+
Hugo Miguel de Sousa,,Luanda,,Angola,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.fundosoberano.ao,Fundo Soberano de Angola,No,$5M-$50M,$5B+
Alaska Permanent Fund Corporation,,Juneau,Alaska,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Diversified, Natural Resources",,https://apfc.org,Alaska Permanent Fund,No (LP in PE/VC funds),$50M-$200M,$80B+
Deven Mitchell,,Juneau,Alaska,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://apfc.org,Alaska Permanent Fund,No,$50M-$200M,$80B+
Marcus Frampton,,Juneau,Alaska,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Markets",,https://apfc.org,Alaska Permanent Fund,No,$50M-$200M,$80B+
Texas Permanent School Fund (PSF),,Austin,Texas,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Diversified",,https://tea.texas.gov,Texas Permanent School Fund,No (LP in PE/VC funds),$50M-$200M,$55B+
Holland Timmins,,Austin,Texas,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://tea.texas.gov,Texas Permanent School Fund,No,$50M-$200M,$55B+
Ken Trevino,,Austin,Texas,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Markets",,https://tea.texas.gov,Texas Permanent School Fund,No,$50M-$200M,$55B+
Russia National Wealth Fund (NWF),,Moscow,,Russia,Sovereign Wealth Fund,Late Stage,"Technology, Energy, Infrastructure",,https://minfin.gov.ru,Russia National Wealth Fund,No,$100M-$500M,$150B+
Anton Siluanov,,Moscow,,Russia,Sovereign Wealth Fund,Late Stage,"Technology, Strategic Investments",,https://minfin.gov.ru,Russia National Wealth Fund,No,$100M-$500M,$150B+
Alexei Moiseev,,Moscow,,Russia,Sovereign Wealth Fund,Late Stage,"Technology, Infrastructure",,https://minfin.gov.ru,Russia National Wealth Fund,No,$100M-$500M,$150B+
