Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
Decisive Point,New York,"Aerospace,AR/VR,Biopharma,Biotech,Clean Tech,Data,Deep Tech,Drones,Government,Robotics,Security,Manufacturing,Energy,Infrastructure,Logistics,Mobility",Institutional Venture Capital (VC),"$10M, $11M Raising Fund II targeting $100M, $11M","Seed,Series A","$500K, $500k-$1MM",NY,United States,"Decisive Point is a venture advisory and investment firm focused on technology for government,  public safety,  and defense. Our mission is to support founders with the guts to try, the ones who look at challenges facing our country and our communities and see problems worth solving. Decisive Point is majority-women run and currently raising its second fund.",https://www.decisivepoint.com,https://www.linkedin.com/company/decisive-point,United States
Definition,New York,All Sectors,Institutional Venture Capital (VC),$100MM,"PreSeed,Seed",$1MM-$3MM,NY,Globally,,https://www.definition.vc,https://www.linkedin.com/company/definition-ventures,United States
Deutsche Bank Venture Capital,New York,"AI/ML,Big Data,Cloud,Cyber,Data,Workforce,Security,Infrastructure,Enterprise",Corporate Venture Capital (CVC),Low double digit million,"Series A,Series B",$3-$5M,NY,Globally,,https://corporate.db.com,https://www.linkedin.com/company/deutsche-bank,United States
Diadem Capital,New York,All Sectors,Fundraising Platform,,"Growth,Series A,Series B,Seed,PreSeed",$5MM,NY,"North America,Europe",,https://www.diademcapital.com,https://www.linkedin.com/company/diadem-capital,United States
Diageo Ventures,"Miami,New York","Consumer,Female Founders,Diversity,Commerce,Supply Chain,Retail",Corporate Venture Capital (CVC),$400MM,"Growth,Seed,PreSeed,Series A,Series B",$2MM - $20MM,NY,,,https://www.diageo.com/en/investors/ventures,https://www.linkedin.com/company/diageo,United States
Differential Ventures,New York,"AI/ML,Analytics,Deep Tech",Institutional Venture Capital (VC),$42MM,"PreSeed,Seed",$250k- $2MM,NY,North America,,https://www.differential.vc,https://www.linkedin.com/company/differential-ventures,United States
Digital Currency Group,New York,"Crypto,Blockchain",Institutional Venture Capital (VC),,"Seed,Series A",,NY,Globally,,https://dcg.co,https://www.linkedin.com/company/digital-currency-group,United States
Digitalis Ventures,New York,"Health Care Services,Health,Healthcare,Mental Health",,,"Series A,Seed,Series B,Growth",$5MM,NY,,,https://www.digitalisventures.com,https://www.linkedin.com/company/digitalis-ventures,United States
Dive In (Diversity Investments),"Nashville,New York","All Sectors,Diversity,Fintech,Medtech,Clean Tech,Future of Work",Impact Fund,$10M,"PreSeed,Seed,Series A","$250K, $150k","TN,NY","Globally,United States","Dive In (Diversity Investments) gives diverse early stage founders the ability to trade equity for executive coaching and training that dramatically increases their chances of success,  then makes follow-on investments in top performers., Dive In is a VC firm owned by Talentism",https://www.divein.vc,,United States
Divergent Capital,New York,"Commerce,Consumer,Education,Fintech,All Sectors,AI/ML,Deep Tech,Healthcare,Wellness,Frontier Tech",Institutional Venture Capital (VC),"$25MM, $25M","PreSeed,Seed,Series A","$500k, $10-750k",NY,Globally,https://www.crunchbase.com/person/katie-shea,https://www.divergent.vc,https://www.linkedin.com/company/divergent-capital,United States
Dorm Room Fund,New York,All Sectors,Institutional Venture Capital (VC),$15MM,"PreSeed,Seed",$40k,NY,United States,,https://www.dormroomfund.com,https://www.linkedin.com/company/dorm-room-fund,United States
Dragonfly,New York,"Blockchain,Crypto",,$650MM,"Seed,Series A,Series B,Growth",$3MM,NY,Globally,,https://www.dcp.capital,,United States
Dynamk Capital,New York,"Life Sciences,3D Printing,AI/ML,Biopharma,Biotech","Institutional Venture Capital (VC),Growth Equity",$65MM,"Growth,Series A,Seed,Series B","$3MM, $2.5MM",NY,"North America,Europe,Asia,United States",,https://www.dynamk.vc,,United States
Ecosystem Integrity Fund,"San Francisco Bay Area,Chicago,New York,Los Angeles,New Haven",All Sectors,"Impact Fund,Institutional Venture Capital (VC),Growth Equity","$250MM, $250M, $300MM","Series A,Seed,Series B,Growth","$5MM, $3-$10M, $5MM-$10MM, $6MM","CA,IL,CT","North America,Africa,Europe,Globally,Other (please specify)",,https://www.ecosystemintegrity.com,https://www.linkedin.com/company/ecosystem-integrity-fund,United States
Eden Global Partners,New York,"All Sectors,AI/ML,Big Data,Cloud,Data Services,Deep Tech,Education,Healthcare,Workforce,Technology",Growth Equity,"Non-public, $1BN","Series B,Growth","$20MM, $35MM-$75MM",NY,United States,,https://www.edenglobalpartners.com,https://www.linkedin.com/company/eden-global-partners,United States
Edison Partners,New York,"Fintech,Software,Healthcare","Institutional Venture Capital (VC),Growth Equity","$365MM, $450MM","Growth,Series B",$10-30MM,NY,North America,,https://www.edisonpartners.com,https://www.linkedin.com/company/edison-partners,United States
Education Growth Partners,"New York,Stamford",Education,Growth Equity,$100MM,Growth,$15MM-$20MM,NY,United States,,https://www.edgrowth.com,https://www.linkedin.com/company/education-growth-partners,United States
Eir Partners,New York,"Healthcare,Health Care Services,Mental Health,Software,Fintech",Evergreen Fund,$400MM,"Growth,Series A,Series B",$25MM,NY,"North America,Europe,LatAm",,https://www.eirpartners.com,https://www.linkedin.com/company/eir-partners,United States
Eldridge Industries,"New York,Greenwich","All Sectors,AI/ML,Big Data,Biopharma,Biotech,Cloud,Data Services,Education,Future of Work,Insurtech,Wellness","Institutional Venture Capital (VC),Family Office",,"Seed,Growth,Series A,Series B","$30MM, Range","NY,CT",Globally,,https://www.eldridge.com,https://www.linkedin.com/company/eldridge-industries,United States
Elephant,New York,"Software,Consumer,SaaS,Apparel,Cloud,Commerce,Technology,All Sectors","Institutional Venture Capital (VC),Growth Equity","$600MM, $600M","Growth,Series A,Series B,Seed","$5-40MM, $10M-$30M",NY,Globally,,https://www.elephantvc.com,https://www.linkedin.com/company/elephant-ventures,United States
Elysian Park Ventures,"New York,Austin","Wellness,Analytics,AR/VR,Entertainment,Esports,Fitness,Gaming,Health,Media,SaaS,Technology,Apparel,Commerce,Consumer,Creator Economy,Social Impact",Institutional Venture Capital (VC),,"PreSeed,Seed,Series A,Series B,Growth","$2MM, $1MM+","NY,TX",,,https://www.elysianpark.ventures,https://www.linkedin.com/company/elysian-park-ventures,United States
"Emerald Development Managers,  LP",New York,"Deep Tech,AgTech,Biopharma,Biotech,Cyber,Clean Tech,Life Sciences,Sustainability,Robotics",Other,,"PreSeed,Seed,Series A,Series B",Varies,NY,,,https://www.emeralddm.com,https://www.linkedin.com/company/emerald-development-managers,United States
Emil Capital Partners,"New York,Greenwich","Consumer,Retail,Food,Digital Media,Health,Wellness,Apparel,PetTech,Beauty,Fitness,Community,Commerce","Institutional Venture Capital (VC),Family Office",,"Growth,Seed,Series A,Series B",$2M,"NY,CT","North America,Europe,United States",,https://www.emilcapital.com,https://www.linkedin.com/company/emil-capital-partners,United States
Emphasis Ventures (EMVC),New York,"Fintech,Blockchain,Cyber,Insurtech,Crypto,Analytics,Enterprise,Security",Institutional Venture Capital (VC),$30MM,"Seed,Series A",,NY,,,https://www.emvc.co,https://www.linkedin.com/company/emphasis-ventures,United States
Endeavor,"New York,Chicago,Atlanta","Crypto,Gaming,Consumer,Commerce,Food,Beauty,Apparel,Femtech,All Sectors","Corporate Venture Capital (CVC),Accelerator Fund","$50MM, $350MM","Seed,Series A,Series B,Growth","$250k-$2MM, $1.5M, $1MM, N/A, $1MM - $2MM","NY,IL,GA","Globally,United States,North America","Endeavor is a community of,  by and for high-impact entrepreneurs. We only invest in entrepreneurs that have joined and are accepted to be a part of the network., N/A",https://endeavor.org,https://www.linkedin.com/company/endeavor,United States
Endeavor Catalyst,"New York,San Francisco Bay Area","All Sectors,Enterprise,AI/ML,Data Services,Big Data",Institutional Venture Capital (VC),$250MM,"Series A,Series B,Growth","$2MM, $1MM","NY,CA",Globally,,https://endeavor.org/entrepreneurs/catalyst/,https://www.linkedin.com/company/endeavor-catalyst,United States
Energize Ventures,"Chicago,New York","Energy,Clean Tech,Sustainability,SaaS,Industrial","Institutional Venture Capital (VC),Growth Equity,Impact Fund","$165MM, $328MM, $1BN, $330MM","Series B,Series A,Growth","$8MM, $5-10MM, $5-15MM, $10MM-$25MM on Ventures, $25MM+ on Growth, $25MM+","IL,NY","Globally,Europe,North America","We are a woman-led fund and believe that diversity drives alpha, Leads Impact and ESG for Energize",https://www.energize.vc,https://www.linkedin.com/company/energize-ventures,United States
Energy Impact Partners,"New York,San Francisco Bay Area",All Sectors,"Institutional Venture Capital (VC),Impact Fund,Growth Equity,Other","$100MM, $530MM, $1.086BN, ~$2.5BN, $3BN","Seed,Series A,Series B,Growth","$1-10MM, $15MM, Check size agnostic, low end up to ~$40mm, $10MM-$40MM","NY,CA","Globally,United States,North America,Europe",Focus on US and global companies with Revenues in the US,https://www.energyimpactpartners.com,https://www.linkedin.com/company/energy-impact-partners,United States
Eniac Ventures,New York,"Blockchain,SaaS,AI/ML,DevOps,Fintech,Analytics,Deep Tech,Data,Web3,Energy,Enterprise,Food,Health,Software","Institutional Venture Capital (VC),Accelerator Fund",$125MM,"Seed,PreSeed","$1MM, $1M-$2M, $1.5MM",NY,"North America,United States",Excited to connect with other women in venture!,https://www.eniac.vc,https://www.linkedin.com/company/eniac-ventures,United States
Enlightened Hospitality Investments,New York,"Consumer,Enterprise,Entertainment,Food,Retail,SaaS",Growth Equity,$330MM,"Growth,Series B",$20MM,NY,North America,,https://www.ehi.fund,https://www.linkedin.com/company/enlightened-hospitality-investments,U.S.
Entrepreneurs Roundtable,New York,"All Sectors,Technology,Software","Accelerator Fund,Institutional Venture Capital (VC)","$9M, $30MM","Seed,PreSeed,Series A","$100K, $150k, $250K-$750K",NY,"LatAm,North America,Globally,United States",,https://www.eroundtable.com,https://www.linkedin.com/company/entrepreneurs-roundtable-accelerator,United States
Epic Angels,New York,All Sectors,Angel Syndicate,,"PreSeed,Seed,Series A",$100k,NY,Asia,,https://www.epicangelnetwork.com,https://www.linkedin.com/company/epic-angels,United States
Episode 1 Ventures,New York,"AI/ML,Analytics,Big Data,Cloud,Data Services,Technology,Software,SaaS,Robotics,Life Sciences,IoT,Infrastructure,Diagnostics,Fintech,Biotech,Blockchain,Cyber,Deep Tech,Future of Work,Health,HRTech,Networks,Insurtech,Silver Tech,Wellness,DevOps,Data",Institutional Venture Capital (VC),£76MM,"PreSeed,Seed,Series A",£2MM,NY,Europe,,https://www.episode1.com,https://www.linkedin.com/company/episode-1-ventures,United States
EQT Ventures,"San Francisco Bay Area,New York","Blockchain,Fintech,Web3,Infrastructure,Clean Tech,Cloud,Crypto,Enterprise,SaaS,Marketplaces,Data,Data Services,DevOps",Institutional Venture Capital (VC),,Series B,$30MM,NY,"Europe,North America",,https://eqtventures.com,https://www.linkedin.com/company/eqt-ventures,United States
Equal Opportunity Ventures,New York,"Healthcare,Education,Government,Civic Tech,Technology,Workforce",Impact Fund,$105MM,"PreSeed,Seed,Series A",$2MM-$2.5MM,NY,United States,,https://www.equalopportunity.vc,https://www.linkedin.com/company/equal-opportunity-ventures,United States
Equal Ventures,New York,All Sectors,Institutional Venture Capital (VC),$56MM,Seed,$1.5MM,NY,,,https://www.equal.vc,https://www.linkedin.com/company/equal-ventures,United States
Equilibra Partners Management,New York,"Consumer,Social Impact,Wellness,Food,All Sectors",Family Office,$1BN,"Growth,Seed,PreSeed,Series A,Series B","$5MM, $500k",NY,"North America,Globally","Equilibra Partners Management is the new family office of Daniel Lubetzky,  founder of KIND Snacks.",https://www.equilibra.vc,https://www.linkedin.com/company/equilibra-partners-management,United States
Equinor Ventures,"New York,Boston","AI/ML,Analytics,Energy,Mobility,Clean Tech",Corporate Venture Capital (CVC),$200MM,"Series A,Growth,Series B,PreSeed","$5MM, depends","NY,MA","Globally,United States",,https://www.equinorventures.com,https://www.linkedin.com/company/equinor-ventures,United States
Equities.comPortfolia,"Stamford,Greenwich,New York,New Haven","AgTech,Consumer,Care Economy,Clean Tech,Creator Economy,Content,Diversity,Entertainment,Female Founders,Femtech,Fintech,Food,Media","Impact Fund,Other,Angel Syndicate",$5MM,"PreSeed,Seed,Series A",$100k,CT,United States,,https://www.equities.com/portfolia,https://www.linkedin.com/company/equities-com,United States
EquityZen,New York,All Sectors,Growth Equity,,Growth,$200K,NY,"United States,Asia,Globally,Europe",,https://www.equityzen.com,https://www.linkedin.com/company/equityzen,United States
Estee Lauder Companies,New York,Consumer,Corporate Venture Capital (CVC),,"Growth,PreSeed,Seed,Series A",$3M-$5M,NY,Globally,,https://www.elcompanies.com/en/news-and-media/newsroom/company-features/estee-lauder-new-incubation-ventures,https://www.linkedin.com/company/estee-lauder-companies,United States
Evidity Health Capital,New York,Medtech,"Growth Equity,Institutional Venture Capital (VC)",$150MM,Growth,$10MM-$20MM,NY,United States,,https://www.evidityhealthcapital.com,https://www.linkedin.com/company/evidity-health-capital,United States
Evolution Equity Partners,New York,"SaaS,Cyber,Data,AI/ML,Infrastructure,Analytics,Deep Tech,Software,All Sectors","Institutional Venture Capital (VC),Growth Equity",$1BN,"Growth,Seed,Series A,PreSeed,Series B","NA, $10MM",NY,"Globally,United States,Europe,Asia,Middle East,North America",,https://www.evolutionequity.com,https://www.linkedin.com/company/evolution-equity-partners,United States
EW Healthcare Partners,New York,"Healthcare,Life Sciences,Medtech,Biopharma,Health",Growth Equity,$750MM,Growth,$75MM,NY,"United States,Europe,North America",,https://www.ewhealthcare.com,https://www.linkedin.com/company/ew-healthcare-partners,United States
Exceptional Capital,New York,"Enterprise,AI/ML,Big Data,Cyber,DevOps,Logistics,SaaS",,,"PreSeed,Seed",$500k-$1MM,NY,,,https://www.exceptional.capital,https://www.linkedin.com/company/exceptional-capital,"Italy, United States"
EY Ventures Group,"Los Angeles,New York","Consumer,Fitness,Health,Technology,Wellness,Female Founders,Crypto,HRTech,Legal,Fintech,Future of Work,AI/ML,Education,Risk Management,Blockchain,All Sectors,SaaS,Platforms","Institutional Venture Capital (VC),Corporate Venture Capital (CVC)","$5MM, Can't disclose","PreSeed,Seed,Growth,Series A","$100-250k, $5MM, Varies","CA,NY","United States,LatAm,Europe",,https://www.ey.com/en_us/entrepreneurship/ey-ventures,https://www.linkedin.com/company/ey-ventures-group,United States
Features Capital,"Boston,New York",Medtech,Institutional Venture Capital (VC),$50M,"Series A,Seed,Series B",$2M,VT,"United States,North America",Features Capital is a medical device venture fund.,https://www.featurescapital.com,https://www.linkedin.com/company/features-capital,United States
Female Founders Fund,New York,"Fintech,Healthcare,Education,HRTech,Food,Enterprise,SaaS,Marketplaces,Commerce,Technology,Female Founders,All Sectors,Software,Consumer,Beauty,Health,Sustainability","Institutional Venture Capital (VC),Impact Fund","$5.8MM, $27MM, $57MM","PreSeed,Seed,Series A","Less than $250k, $750k, $1MM, $1MM-$2MM",NY,"United States,Globally",,https://femalefoundersfund.com,https://www.linkedin.com/company/female-founders-fund,"United States, U.S."
FemHealth Ventures,New York,Health,Institutional Venture Capital (VC),,Series A,$1MM,NY,,,https://www.femhealthventures.com,https://www.linkedin.com/company/femhealth-ventures,United States
ff Venture Capital,New York,"AI/ML,Civic Tech,Family Tech,Commerce,Data,Frontier Tech,Esports,IoT,Insurtech,Technology,Legal,Drones,Fintech,Enterprise,Data Services,Future of Work,Media,Workforce,Aerospace,Supply Chain,Software,Security,SaaS,Robotics,Mobile Apps,AgTech,Adtech",Institutional Venture Capital (VC),Targeting $55MM,"Seed,PreSeed",$300-700k,NY,"North America,Europe",,https://www.ffvc.com,https://www.linkedin.com/company/ff-venture-capital,United States
Fifth Wall,"New York,Austin","PropTech,Construction Tech,Fintech,Insurtech,SaaS,Marketplaces,Enterprise,UrbanTech,Travel,Clean Tech,Energy,Frontier Tech,Deep Tech,Sustainability,Industrial,IoT,Manufacturing,Materials,Robotics,Supply Chain","Corporate Venture Capital (CVC),Institutional Venture Capital (VC)","$350M, $800M, $750MM","Seed,Series A,Series B,Growth","$20MM, $1M - $25M, $10M, $5MM-$25MM","NY,TX","United States,North America,Globally,Europe,LatAm,Middle East",,https://fifthwall.com,https://www.linkedin.com/company/fifth-wall,United States
Fin Venture Capital,New York,Fintech,Growth Equity,,"Seed,PreSeed,Series A,Series B,Growth",$10MM,NY,"Europe,North America,LatAm,United States",,https://finvc.co,https://www.linkedin.com/company/fin-venture-capital,United States
Fine Structure Ventures,"New York,Boston","3D Printing,AgTech,Biotech,Clean Tech,Transportation,Sustainability,Materials,Manufacturing,Deep Tech,Energy,Frontier Tech,Hardware",Institutional Venture Capital (VC),"$250M, $400MM","Series A,Series B,Seed","$4M-$6M, $5MM","NY,MA",Globally,,https://www.finestructureventures.com,https://www.linkedin.com/company/fine-structure-ventures,United States
FinTech Collective,New York,"Fintech,Crypto,Insurtech",Institutional Venture Capital (VC),$200MM,"Seed,Series A,Series B",$5MM,NY,Globally,,https://www.fintech.io,https://www.linkedin.com/company/fintech-collective,United States
Firework Ventures,"San Francisco Bay Area,New York","Future of Work,Education,Fintech,HRTech,Care Economy,Community,Analytics,Creator Economy,Diversity,Family Tech,Marketplaces,Mental Health,Web3,Workforce,Wellness","Institutional Venture Capital (VC),Impact Fund","$100MM, $65M","Series A,Seed","$5-10MM, $5-10M, $5-$10M","CA,NY",North America,,https://www.firework.vc,https://www.linkedin.com/company/firework-ventures,United States
First Close Partners,New York,All Sectors,Other,$33MM,"Seed,PreSeed,Series A,Series B,Secondary",$450k,NY,Globally,,https://www.firstclosepartners.com,https://www.linkedin.com/company/first-close-partners,United States
First Round Capital,"San Francisco Bay Area,New York","All Sectors,Commerce,Healthcare",Institutional Venture Capital (VC),"$175MM, First Round: $275M, Dorm Room Fund: $2M, $250M","PreSeed,Seed,Series A","$250-500k,
 $500-$1MM,
 $1-$3MM, Less than $250k,
 $250-500k,
 $500-$1MM, First Round: ~$2M, Dorm Room Fund: $20k, $2M-$5M","CA,NY","United States,North America",Backing the strongest student founders @ Dorm Room Fund,https://firstround.com,https://www.linkedin.com/company/first-round-capital,United States
FirstMark Capital,New York,"All Sectors,Enterprise,Construction Tech,Adtech,Biotech,Gaming,Software,SaaS,Healthcare,Consumer,AI/ML,Data Services",Institutional Venture Capital (VC),"$500MM, $1BN, $3.5BN AUM","Seed,Series A,Series B,PreSeed,Growth","$1-3MM, $3-9MM, $8M, $10MM, $500k-$8MM",NY,"United States,Europe,North America",,https://firstmark.com,https://www.linkedin.com/company/firstmark-capital,United States
FIS Global,"New York,San Francisco Bay Area","Fintech,AI/ML,Analytics,Blockchain,Data","Corporate Venture Capital (CVC),Accelerator Fund,Impact Fund",$150MM,"Seed,Series A,Series B,Growth","$250K - $5MM, $50k, $1MM","NY,CA","Europe,United States,Middle East,Globally,North America",,https://www.fisglobal.com,https://www.linkedin.com/company/fis,United States
FJ Labs,New York,"Marketplaces,Fintech,Commerce,All Sectors,Consumer,Food,Future of Work,SaaS,Logistics,Travel","Institutional Venture Capital (VC),Family Office","$120MM, $300MM, $260MM","Seed,PreSeed,Series A,Series B,Growth","$400k, $350k, $200k-$1MM",NY,Globally,,https://fjlabs.com,https://www.linkedin.com/company/fj-labs,United States
Flagship Pioneering,"Boston,New York","Biotech,Health,Biopharma,AI/ML,AgTech","Corporate Venture Capital (CVC),Venture Studio,Institutional Venture Capital (VC)","$3.5+ BN, $3.6BN","Seed,Series A,PreSeed,Series B,Growth","depending on stage, $43MM, $2MM, $50MM","MA,NY",United States,"Part of the Venture Creation part of Flagship Pioneering so I work with a team of entrepreneurial scientists to drive ventures from origination to value imagining,  creating and advancing the next generation of Flagship’s multi-product bioplatform companies.",https://www.flagshippioneering.com,https://www.linkedin.com/company/flagship-pioneering,United States
Flat World Partners,New York,"Education,Energy,Clean Tech,Diversity,Health,Healthcare,Sustainability",Institutional Venture Capital (VC),,"Growth,Seed,Series B,Series A",,NY,,,https://www.flatworldpartners.com,https://www.linkedin.com/company/flat-world-partners,United States
Flourish Ventures,"San Francisco Bay Area,Washington DC,New York","Fintech,Female Founders,Insurtech,Silver Tech,Social Impact","Impact Fund,Institutional Venture Capital (VC)","$500M global fund, $500MM, $850MM","Seed,Series A,Series B,PreSeed","$2-3M initial check but up to $10m, $1-5MM, $500k - $8MM","CA,DC,NY","North America,LatAm,Africa,Other (please specify),United States",,https://flourishventures.com,https://www.linkedin.com/company/flourish-ventures,United States
FMC Ventures (CVC arm of FMC),New York,AgTech,Corporate Venture Capital (CVC),,Series A,$2MM-$3MM,NY,Globally,,https://fmc.com/en/innovation/fmc-ventures,https://www.linkedin.com/company/fmc-ventures,United States
Foresite Capital,"Boston,New York","Health,Health Care Services,Biopharma,Biotech,AI/ML,Big Data,Diagnostics,Life Sciences,Healthcare","Accelerator Fund,Institutional Venture Capital (VC)","$2BN, $1BN","PreSeed,Series A,Seed,Series B,Growth",$15MM,"MA,NY",Globally,,https://www.foresite.com,https://www.linkedin.com/company/connecticut-innovations,United States
Forum Ventures,"San Francisco Bay Area,New York,Los Angeles,Charleston","SaaS,Enterprise,All Sectors,Future of Work,Marketplaces,Healthcare,Fintech,Adtech,AI/ML,Analytics,AR/VR,Civic Tech,Commerce,Data Services,Femtech,Gaming,PropTech","Institutional Venture Capital (VC),Accelerator Fund,Venture Studio","$15MM, $10MM, $250MM+, $100MM, $75MM","PreSeed,Series A,Seed","$250-750k, $100j, $500K-$1.1M, $500K-$750K, $100K at accelerator stage, $500k at the seed stage, $100K-$1MM, I run the studio, $100k","CA,NY,SC","North America,Europe,United States,Asia,LatAm","Twitter: TheSalesMethod, Immigrant,  First-Gen,  Low-Income background",https://www.forumvc.com,https://www.linkedin.com/company/conversion-capital,United States
Founder Collective,New York,"All Sectors,SaaS",Institutional Venture Capital (VC),"$85MM, $95MM","Seed,PreSeed","$1MM, $1MM-$3MM",NY,"North America,Europe,Globally,United States",,https://www.foundercollective.com,https://www.linkedin.com/company/copper-wire-ventures,United States
Four Acres Capital Fund,New York,All Sectors,Institutional Venture Capital (VC),,"PreSeed,Seed",Less than $250k,NY,,,https://www.fouracrescap.com,https://www.linkedin.com/company/core-innovation-capital,United States
Four Cities Capital,New York,All Sectors,Institutional Venture Capital (VC),$15M,"Seed,Series A",$100K-$300K,NY,"United States,Europe",,https://www.fourcitiescapital.com,https://www.linkedin.com/company/cowboy-ventures,United States
FTV Capital,"San Francisco Bay Area,New York",All Sectors,Growth Equity,$1.2BN,Growth,"$60MM, $30-200MM","CA,NY",Globally,,https://ftvcapital.com,https://www.linkedin.com/company/cre-venture-capital,United States
FTW Ventures,"New Haven,New York,Boston,San Francisco Bay Area","AgTech,Biotech,Clean Tech,Food,Materials,Supply Chain,Wellness,Sustainability","Impact Fund,Institutional Venture Capital (VC)","$25MM, $20MM","PreSeed,Seed","$250K-$1MM, $750k","CT,CA",North America,,https://www.ftw.vc,https://www.linkedin.com/company/creadev,United States
Full In Partners,New York,"Software,Travel,Mobile,Marketplaces","Institutional Venture Capital (VC),Growth Equity","$150-$200MM, $150MM","Series B,Growth,Series A","$10MM+, $5MM-$30MM",NY,"North America,Europe",,https://fullinpartners.com,https://www.linkedin.com/company/creo-ventures,United States
FullCircle,New York,Workforce,Evergreen Fund,,PreSeed,$200k,NY,"Europe,North America",,https://www.fullcircle.co,https://www.linkedin.com/company/crossbeam-ventures,United States
Fundr,"New York,Austin",All Sectors,Fundraising Platform,,"Seed,PreSeed","$50k, $100k","NY,TX",,,https://www.fundr.ai,https://www.linkedin.com/company/crv,United States
G9 Ventures,New York,"Consumer,Community,Fashion,Future of Work,Wellness,Technology,Platforms",Institutional Venture Capital (VC),$20MM,"Seed,PreSeed,Series A",$250k,NY,Globally,,https://g9.vc,https://www.linkedin.com/company/cvs-health-ventures,United States
Galaxy Digital,"New York,San Francisco Bay Area","Technology,Blockchain,Commerce,Analytics,Crypto,Enterprise,Networks,Software,Consumer","Institutional Venture Capital (VC),Growth Equity","$335MM, $1.6BN","Seed,Series A,Series B,PreSeed","$1-10MM, $500K",NY,"Globally,North America,Asia,Europe",,https://www.galaxy.com,https://www.linkedin.com/company/danone-ventures,United States
GCV,New York,All Sectors,Corporate Venture Capital (CVC),,PreSeed,XX,NY,,"Director,  GCV's Women On Boards",https://globalcorporateventuring.com,https://www.linkedin.com/company/day-one-ventures,United States
gener8tor,"Milwaukee,Minneapolis,Jackson,Chicago,Detroit,Birmingham,New York,Indianapolis,Omaha,Madison,Sacramento,Green Bay,Luxembourg,Memphis,Other","Fintech,Insurtech,Data,Diversity,Technology,Health,All Sectors,Education,Analytics,Sustainability,Transportation,SaaS,Security,Software,Platforms","Accelerator Fund,Impact Fund,Growth Equity,Venture Studio,Corporate Venture Capital (CVC)","$20MM, N/A, $1MM, €1MM - €3MM","Growth,PreSeed,Seed,Series A","$100k, n/a, €100k, $250k-$750k","WI,MN,WY,IL,MI,AL,NY,IN,NE,CA,TN","United States,Globally,North America,Europe,Other (please specify)",https://www.gener8tor.com/investment-accelerators/northwestern-mutual-black-founder-accelerator,https://www.gener8tor.com,https://www.linkedin.com/company/decarbonization-partners,"United States, Luxembourg, United States"
General Atlantic,New York,All Sectors,"Institutional Venture Capital (VC),Growth Equity","$10B, $25BN, $100BN, $8BN, $70BN, $77BN AUM",Growth,"$10MM+, $150MM, $100MM, $100 - 150MM",NY,"United States,Asia,Middle East,Europe",,https://www.generalatlantic.com,https://www.linkedin.com/company/decisive-point,United States
General Catalyst,"Boston,San Francisco Bay Area,New York","Enterprise,Commerce,SaaS,Adtech,All Sectors,Health,Health Care Services,Healthcare,Aerospace,Deep Tech",Institutional Venture Capital (VC),"$1.4 billion, $1.4B, $2.3BN","Growth,Series A,Seed,Series B,PreSeed","$50MM, $150K-100M, $5-10M, $10-30M, $30M+, $500k-$10MM, $1MM - $50MM, $5MM+, various","MA,CA,NY","North America,Europe,Asia",,https://www.generalcatalyst.com,https://www.linkedin.com/company/definition-ventures,United States
GGV,"New York,San Francisco Bay Area","Consumer,Social Impact,UrbanTech,Commerce,Software,Enterprise,All Sectors,SaaS,Cloud,Fintech,Data,AI/ML,Cyber,Security,DevOps","Institutional Venture Capital (VC),Growth Equity","$1.2B, $1.9B, $6.2BN, $9.5BN","Seed,Series A,Series B,Growth","Less than $250k,
 $250-500k,
 $500-$1MM,
 $1-$3MM,
 $3-9MM,
 $10MM+, $20MM, flexible","NY,CA","Globally,United States,Europe,LatAm",,https://www.ggvc.com,https://www.linkedin.com/company/deutsche-bank,United States
Gilgamesh,New York,Fintech,Institutional Venture Capital (VC),$10MM,"PreSeed,Seed",$250K,NY,"LatAm,United States",,https://gilgameshpharma.com,https://www.linkedin.com/company/diadem-capital,United States
Gingerbread Capital,"San Francisco Bay Area,New York,Chicago",All Sectors,"Family Office,Evergreen Fund","$50MM, Deploy $10-12mm/year, $50M, $80MM","Series A,Series B,Growth,Seed",$500k,"CA,NY,IL",North America,Fund women founders and co-founders,https://www.gingerbreadcap.com,https://www.linkedin.com/company/diageo,United States
Glade Brook Capital,New York,All Sectors,"Institutional Venture Capital (VC),Growth Equity",$200MM,Growth,"$25MM, $50MM",NY,Globally,,https://www.gladebrook.com,https://www.linkedin.com/company/differential-ventures,United States
Global BioAccess Fund,New York,Biotech,Institutional Venture Capital (VC),$125M,"Series A,Series B",,NY,Globally,,https://www.globalbioaccessfund.com,https://www.linkedin.com/company/digital-currency-group,United States
GoingVC Partners,"San Francisco Bay Area,New York",All Sectors,"Angel Syndicate,Impact Fund,Other",$5MM,"PreSeed,Seed","$100k, $10K","CA,NY","Globally,North America,Asia",,https://www.goingvc.com/partners,https://www.linkedin.com/company/digitalis-ventures,United States
Golden Gate Ventures,New York,All Sectors,Corporate Venture Capital (CVC),,"Growth,PreSeed,Seed,Series A,Series B",Undisclosed,NY,Asia,,https://www.goldengate.vc,https://www.linkedin.com/company/dive-in-diversity-investments,United States
