Name,Email,Location,Type of Investor,Stage,Sector,LinkedIn,Website,Fund,Typical Investment Size,Notes
Ingenious Media,,London UK,Film Finance,Development to Production,"Film, Entertainment, Content, Media",,https://www.ingenious.co.uk,Ingenious Media,$5M-$50M+,"Patrick McKenna's UK film finance company. One of the largest independent film financiers in Europe. Avatar, Life of Pi (co-financed). EIS/SEIS structures."
Great Point Media,,London UK / New York NY USA,Film Finance / Investment,Development to Distribution,"Film, Entertainment, Content, Media",,https://greatpointmedia.com,Great Point Media,$5M-$50M,"Robert Halmi Jr. and Jim Reeve. Film and TV finance. Produces and invests. Great Point Capital provides equity."
Cornerstone Films,,London UK,Film Finance / Sales,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,https://www.cornerstonefilm.com,Cornerstone Films,$2M-$20M,"International sales and co-financing. Alison Thompson and Mark Gooder. The Father, Benediction. Prestige sales."
Embankment Films,,London UK,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.embankmentfilms.com,Embankment Films,$2M-$20M,"International sales and production. Tim Haslam and Hugo Grumbar. UK-based. Co-finances and sells globally."
Independent Film & Television Alliance (IFTA),,Los Angeles CA USA,Industry Association,All Stages,"Film, Entertainment, Content, Media",,https://www.ifta-online.org,IFTA,N/A - trade association,"Global trade association for independent film/TV. Organizes American Film Market (AFM). Key networking for film finance."
Endeavor Content Capital,,Beverly Hills CA USA,Film Finance,Production to Distribution,"Film, Entertainment, Content, Media",,https://www.endeavorcontent.com,Endeavor Content Capital,$5M-$50M,"Debt and equity financing division of Endeavor Content. Provides production financing and gap financing."
William Morris Endeavor (WME),,Beverly Hills CA USA,Talent Agency / Film Finance,Development to Production,"Film, Entertainment, Content, Media",,https://www.wmeagency.com,WME,$5M-$100M+,"Major talent agency. Packages films and TV shows. WME Independent handles indie film finance and sales."
Topic Studios,,New York NY USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.topicstudios.com,Topic Studios,$2M-$20M,"First Look Media's entertainment studio (Pierre Omidyar). Spotlight on social issues. Produces film and TV. Won Oscar for Spotlight."
Concordia Studio,,Los Angeles CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.concordiastudio.com,Concordia Studio,$2M-$20M,"Social impact entertainment studio. Backed by Emerson Collective (Laurene Powell Jobs). Produces film/TV with social impact lens."
Elevated Films,,Los Angeles CA USA,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.elevatedfilms.com,Elevated Films,$1M-$15M,"Cassian Elwes-founded sales and finance company. Specializes in independent film financing and festival sales."
WestEnd Films,,London UK,Film Finance / Sales,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,https://www.westendfilms.com,WestEnd Films,$2M-$15M,"International sales and co-financing. Maya Amsellem. UK-based. Art-house and commercial independent films."
Cinetic Media,,New York NY USA,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.cineticmedia.com,Cinetic Media,$1M-$15M,"John Sloss' advisory and sales company. Festival strategy, financing, and deal-making. Boyhood, Super Size Me."
Endeavor Capital,,Beverly Hills CA USA,Film Finance,Growth,"Film, Entertainment, Content, Media",,https://www.endeavorcontent.com,Endeavor,$10M-$100M+,"Parent company of WME. Silver Lake invested $4B+. Entertainment conglomerate: agency, events (UFC), content financing."
Bron Studios,,Vancouver BC / Los Angeles CA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.bronstudios.com,Bron Studios,$5M-$30M,"Founded by Aaron L. Gilbert. Joker, Bombshell, Queen & Slim. Major independent co-financer. Bron Creative for TV."
FilmStar Capital,,Los Angeles CA USA,Film Finance,Production,"Film, Entertainment, Content, Media",,,FilmStar Capital,$5M-$50M,"Provides gap financing and equity co-financing for independent films. Works with international presales."
Limelight Capital,,Los Angeles CA USA,Film Finance,Production,"Film, Entertainment, Content, Media",,,Limelight Capital,$2M-$20M,"Provides production financing including gap lending and tax credit lending for independent films."
Foresight Unlimited,,Santa Monica CA USA,Film Finance / Sales,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,https://www.foresightunlimited.com,Foresight Unlimited,$1M-$20M,"International sales and co-financing. Genre and commercial independent films. Festival market presence."
Arclight Films,,Sydney Australia,Film Finance / Sales,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,https://www.arclightfilms.com,Arclight Films,$2M-$30M,"International sales and production. Gary Hamilton. Genre films and mid-budget commercial. Australia-based with global sales."
Screen Media Ventures,,New York NY USA,Film Finance / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.screenmediaventures.com,Screen Media Ventures,$500K-$10M,"Independent film distribution and acquisition. Part of Chicken Soup for the Soul Entertainment. Acquires completed films."
Media Finance Capital,,London UK,Film Finance,Production,"Film, Entertainment, Content, Media",,,Media Finance Capital,$5M-$50M,"Provides production finance, gap finance, and tax credit lending for UK and European film productions."
Endgame Entertainment,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.endgameentertainment.com,Endgame Entertainment,$5M-$30M,"James D. Stern. Provides equity financing and produces. End of the Tour, Won't You Be My Neighbor?"
GreenBridge Films,,Los Angeles CA USA,Film Finance,Development to Production,"Film, Entertainment, Content, Media",,,GreenBridge Films,$1M-$15M,"Independent film financing company. Co-finances independent features. Works with international sales companies."
Bleecker Street,,New York NY USA,Film Fund / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.bleeckerstreetmedia.com,Bleecker Street,$2M-$20M,"Founded by Andrew Karpen. Trumbo, Captain Fantastic, Colette. Acquires and distributes quality independent films."
Roadside Attractions,,Los Angeles CA USA,Film Fund / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.roadsideattractions.com,Roadside Attractions,$500K-$10M,"Eric d'Arbeloff and Howard Cohen. Manchester by the Sea, The Peanut Butter Falcon. Leading indie distributor."
Focus Features,,Universal City CA USA,Film Fund / Production / Distribution,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.focusfeatures.com,Focus Features,$5M-$30M,"Universal Pictures' specialty label. Brokeback Mountain, Promising Young Woman, Tár. Acquires and produces prestige films."
Searchlight Pictures,,Los Angeles CA USA,Film Fund / Production / Distribution,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.searchlightpictures.com,Searchlight Pictures,$5M-$30M,"Disney/20th Century specialty label. The Shape of Water, Nomadland, The Banshees of Inisherin. Acquires and produces."
Sony Pictures Classics,,New York NY USA,Film Fund / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.sonyclassics.com,Sony Pictures Classics,$1M-$15M,"Michael Barker and Tom Bernard. Whiplash, Call Me by Your Name. Long-running specialty distributor. Festival acquisitions."
Entertainment One (eOne),,Toronto Canada / London UK,Film Fund / Production / Distribution,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.entertainmentone.com,eOne (Hasbro),$5M-$50M+,"Hasbro subsidiary. Film, TV, and music. The Lego Movie producer partner, Peppa Pig. Global distribution and production."
STXinternational,,London UK,Film Finance / International,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,https://www.stxentertainment.com,STXinternational,$5M-$30M,"International arm of STX. Handles overseas co-financing and distribution for STX films."
Black Label Media,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.blacklabelmedia.com,Black Label Media,$5M-$30M,"Trent Luckinbill, Thad Luckinbill, and Molly Smith. Sicario, La La Land (co-financed), Wind River. Active equity co-financer."
Emjag Productions,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,,Emjag Productions,$2M-$15M,"Jada Pinkett Smith's production company. Focus on diverse and female-driven content."
Fenix Studios,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,,Fenix Studios,$5M-$30M,"Latino-focused content studio. Produces and finances films and TV for Hispanic/Latino audiences."
Picturestart,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://picturestart.com,Picturestart,$3M-$20M,"Erik Feig's company (former Lionsgate exec). Focus on YA, female-driven, and diverse content. The Secret Life of Bees. Co-finances."
Makeready,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.makeready.com,Makeready,$5M-$30M,"Brad Weston's entertainment company. Backed by AT&T/WarnerMedia initially. The Call of the Wild. Independent film/TV production and financing."
FilmRise,,Brooklyn NY USA,Film Finance / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.filmrise.com,FilmRise,$100K-$5M,"Danny Fisher and Jack Fisher. Acquires indie films and classic TV. Growing AVOD/SVOD distribution. Library approach."
Briarcliff Entertainment,,Los Angeles CA USA,Film Fund / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.briarcliffent.com,Briarcliff Entertainment,$2M-$20M,"Tom Ortenberg's distribution company. Specializes in wide-release independent films."
Cinereach,,New York NY USA,Documentary Fund / Film Fund,Development to Production,"Film, Entertainment, Content, Media",,https://www.cinereach.org,Cinereach,$50K-$500K,"Nonprofit film fund. Beasts of the Southern Wild, American Honey. Provides grants and equity investment for independent and documentary film."
Sundance Institute Feature Film Program,,Park City UT USA,Film Fund / Grant,Development to Post-Production,"Film, Entertainment, Content, Media",,https://www.sundance.org/programs/feature-film,Sundance Institute,$10K-$100K grants,"Labs, fellowships, and grants for independent narrative filmmakers. Screenwriters Lab, Directors Lab. Application-based."
Tribeca Film Institute,,New York NY USA,Documentary Fund / Film Fund,Development to Post-Production,"Film, Entertainment, Content, Media",,https://www.tribecafilm.com/institute,Tribeca Film Institute,$10K-$100K grants,"Grants and mentorship for filmmakers. TFI Documentary Fund, Through Her Lens (women filmmakers). Application-based."
National Endowment for the Arts (NEA Film),,Washington DC USA,Film Fund / Government Grant,Production to Distribution,"Film, Entertainment, Content, Media",,https://www.arts.gov/grants/grants-for-arts-projects/media-arts,NEA Media Arts,$10K-$100K grants,"Federal grants for media arts including film. Supports production, post-production, and distribution of film/video/audio."
Firelight Media,,New York NY USA,Documentary Fund,Development to Production,"Film, Entertainment, Content, Media",,https://www.firelightmedia.tv,Firelight Media,$15K-$50K grants,"Founded by Stanley Nelson. Documentary Lab supports emerging BIPOC documentary filmmakers. Mentorship and grants."
Gucci Tribeca Documentary Fund,,New York NY USA,Documentary Fund,Production to Post-Production,"Film, Entertainment, Content, Media",,https://www.tribecafilm.com,Gucci Tribeca Documentary Fund,$10K-$25K grants,"Tribeca Film Institute grant sponsored by Gucci supporting feature-length documentary films."
Screen Australia,,Sydney Australia,Film Fund / Government,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.screenaustralia.gov.au,Screen Australia,$50K-$2M+,"Australia's federal screen funding body. Production investment, development funding, enterprise funding. Also administers Producer Offset."
Telefilm Canada,,Montreal QC Canada,Film Fund / Government,Development to Distribution,"Film, Entertainment, Content, Media",,https://telefilm.ca,Telefilm Canada,$100K-$2M+ CAD,"Canada's federal film funding body. Finances Canadian feature films. Also administers Canada Media Fund. Talent to Watch program."
Screen Ireland (Fís Éireann),,Dublin Ireland,Film Fund / Government,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.screenireland.ie,Screen Ireland,$100K-$1M+ EUR,"Ireland's development agency for the Irish film and TV industry. Production funding, development loans. Also oversees Section 481."
Swedish Film Institute,,Stockholm Sweden,Film Fund / Government,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.filminstitutet.se,Swedish Film Institute,$100K-$1M+ SEK,"Sweden's national film funding body. Production support, development, distribution funding for Swedish films."
Netherlands Film Fund,,Amsterdam Netherlands,Film Fund / Government,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.filmfonds.nl,Netherlands Film Fund,$50K-$1.5M+ EUR,"Supports Dutch film production with development, production, and distribution funding."
CJ ENM (Korea),,Seoul South Korea,Film Fund / Studio,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.cjenm.com,CJ ENM,$5M-$100M+,"Major Korean entertainment conglomerate. Parasite producer (via subsidiary). Acquired majority of Endeavor Content. Global content ambition."
Huanxi Media,,Hong Kong / Beijing China,Film Fund / Studio,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.huanxi.com,Huanxi Media,$5M-$50M+,"Chinese film investment and distribution company. Co-finances Chinese and international films."
Village Roadshow,,Melbourne Australia,Film Fund / Production / Distribution,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.villageroadshow.com.au,Village Roadshow,$5M-$100M+,"Major Australian entertainment company. Co-financed The Matrix, Joker, Mad Max: Fury Road with Warner Bros. Cinemas and theme parks."
Creative Scotland,,Edinburgh Scotland UK,Film Fund / Government,Development to Production,"Film, Entertainment, Content, Media",,https://www.creativescotland.com,Creative Scotland,$50K-$500K+ GBP,"Scotland's national arts and screen funding body. Screen funding for Scottish film projects."
Eurimages (Council of Europe),,Strasbourg France,Film Fund / Intergovernmental,Production to Distribution,"Film, Entertainment, Content, Media",,https://www.coe.int/en/web/eurimages,Eurimages,$100K-$800K EUR,"Council of Europe film fund. Co-production support for European films. 40 member states. Application-based."
MEDIA Programme (Creative Europe),,Brussels Belgium,Film Fund / EU,Development to Distribution,"Film, Entertainment, Content, Media",,https://digital-strategy.ec.europa.eu/en/policies/creative-europe-media,Creative Europe MEDIA,$50K-$2M+ EUR,"EU support programme for film and audiovisual sector. Development, distribution, audience development, festivals funding."
Nordisk Film,,Copenhagen Denmark,Film Fund / Studio,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.nordiskfilm.com,Nordisk Film,$2M-$30M+,"Egmont Group subsidiary. Oldest film company in the world (1906). Scandinavian film production, distribution, and cinemas."
Zentropa,,Copenhagen Denmark,Production Company / Film Fund,Development to Production,"Film, Entertainment, Content, Media",,https://www.zentropa.dk,Zentropa,$1M-$20M,"Lars von Trier co-founded. Major Scandinavian production company. Dogme 95 movement. International co-productions."
Bavaria Film,,Munich Germany,Film Fund / Studio,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.bavariafilm.de,Bavaria Film,$2M-$30M,"Major German film and TV studio. Production facilities and co-production. German market leader."
Gaumont,,Paris France,Film Fund / Studio,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.gaumont.com,Gaumont,$5M-$50M+,"Oldest film company in the world (1895). Major French studio. Produces and distributes film and TV globally. Lupin (Netflix)."
Constantin Film,,Munich Germany,Film Fund / Studio / Distribution,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.constantinfilm.de,Constantin Film,$5M-$50M+,"Major German film production and distribution. Resident Evil franchise, Downfall. Also international co-productions."
Luma Foundation,,Arles France,Documentary Fund / Foundation,Development to Production,"Film, Entertainment, Content, Media",,https://www.luma.org,Luma Foundation,Varies,"Maja Hoffmann's foundation. Supports art, documentary, and cultural projects. Arles-based cultural institution."
Bertha Foundation (Documentary),,London UK,Documentary Fund / Foundation,Development to Distribution,"Film, Entertainment, Content, Media",,https://bfrsa.org,Bertha Foundation,$25K-$200K,"Supports documentary filmmakers and activists. Bertha DocHouse. Social justice documentary focus."
Cinemaker (Film Finance),,Los Angeles CA USA,Film Finance,Production,"Film, Entertainment, Content, Media",,,Cinemaker,$2M-$20M,"Completion bond and gap financing specialist. Works with independent film productions needing cash-flow solutions."
Film Finances Inc,,Los Angeles CA USA,Film Finance / Completion Bond,Production,"Film, Entertainment, Content, Media",,https://www.filmfinances.com,Film Finances,$1M-$200M+ (bonds),"World's largest completion bond company. Guarantees film delivery to financiers. Essential part of independent film finance chain."
Media Capital Group,,Dubai UAE,Film Finance / Investment,Development to Distribution,"Film, Entertainment, Content, Media",,,Media Capital Group,$5M-$50M,"Middle East-based media investment group. Invests in international film and content productions."
Image Nation Abu Dhabi,,Abu Dhabi UAE,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.imagenation.ae,Image Nation Abu Dhabi,$5M-$50M+,"Abu Dhabi government-backed. Co-financed The Help, Contagion. Major Middle Eastern content investor. twofour54 media zone."
MBC Studios,,Dubai UAE,Film Fund / Production / Broadcaster,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.mbc.net,MBC Studios,$2M-$30M,"Middle East Broadcasting Center's production arm. Arabic-language and international content. Shahid streaming platform."
Participant (Skoll Foundation),,Beverly Hills CA USA,Film Fund / Impact,Development to Distribution,"Film, Entertainment, Content, Media",,https://participant.com,Participant,$5M-$50M,"Jeff Skoll's social impact media company (listed separately from Participant Media entry above as investment arm). Social impact campaigns accompany each film."
