Name,Type,Sector Focus,Stage,Geographic Focus,Diversity Focus,Check Size,Lead/Follow,Application Type,Website,Pitch URL,LinkedIn,Twitter,YouTube,Notable Portfolio,Notes
Bain Capital Ventures,VC,Technology / Fintech / Healthcare,Seed to Growth,US / Global,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.baincapitalventures.com,,https://www.linkedin.com/company/bain-capital-ventures,https://twitter.com/BainCapVC,,"LinkedIn, DocuSign, SurveyMonkey",Part of Bain Capital
8VC,VC,Technology / Logistics / Gov Tech,Early to Growth,US,No specific focus,$1M–$30M,Lead,Warm Intro Recommended,https://8vc.com,,https://www.linkedin.com/company/8vc,https://twitter.com/8aborvc,,"Palantir, Oscar Health, Wish",Joe Lonsdale's fund
a]ventures (formerly Almaz Capital),VC,Technology / Enterprise,Early to Growth,US / CIS / Europe,No specific focus,$500K–$10M,Lead,Warm Intro Recommended,https://aventures.vc,,https://www.linkedin.com/company/almaz-capital,,,Various CIS/US startups,Cross-border US-CIS
Dragoneer Investment Group,VC,Technology / Consumer,Growth,US / Global,No specific focus,$25M–$200M+,Lead,Warm Intro Recommended,https://www.dragoneer.com,,https://www.linkedin.com/company/dragoneer-investment-group,,,"Airbnb, Slack, Snowflake",Late-stage growth
D1 Capital Partners,VC,Technology / Consumer,Growth,US / Global,No specific focus,$25M–$200M+,Lead,Warm Intro Recommended,https://d1cap.com,,https://www.linkedin.com/company/d1-capital-partners,,,"SpaceX, Instacart, Figs",Crossover hedge/VC fund
Addition,VC,Technology / Multi-sector,Growth,Global,No specific focus,$25M–$200M+,Lead,Warm Intro Recommended,https://addition.com,,https://www.linkedin.com/company/addition-vc,,,"Stripe, Figma, Flexport",Lee Fixel's fund
Iconiq Capital,Family Office,Technology / Multi-sector,Growth,Global,No specific focus,$10M–$200M+,Follow,Referral Only,https://www.iconiqcapital.com,,https://www.linkedin.com/company/iconiq-capital,,,"Facebook, LinkedIn, Alibaba",Manages wealth for tech billionaires
Emerson Collective,Family Office,Technology / Education / Immigration / Climate,Seed to Growth,US / Global,"Yes — Focus on social justice, immigration, education equity",$1M–$50M+,Lead,Warm Intro Recommended,https://www.emersoncollective.com,,https://www.linkedin.com/company/emerson-collective,https://twitter.com/emaborersoncollect,,Various education/climate ventures,Laurene Powell Jobs
Breakthrough Energy Ventures,Family Office,Climate / Clean Energy,Early to Growth,Global,Yes — Climate equity focus,$5M–$50M,Lead,Open Application,https://www.breakthroughenergy.org,,https://www.linkedin.com/company/breakthrough-energy,https://twitter.com/breaborakthrougheng,,"QuantumScape, Commonwealth Fusion, Pivot Bio",Bill Gates led
Mousse Partners,Family Office,Consumer / Technology,Growth,US / Europe,No specific focus,$5M–$50M,Follow,Referral Only,https://www.moussepartners.com,,https://www.linkedin.com/company/mousse-partners,,,"Farfetch, various consumer",Chanel family office
Bezos Expeditions,Family Office,Technology / Multi-sector,Seed to Growth,Global,No specific focus,$100K–$100M+,Follow,Referral Only,https://www.bezosexpeditions.com,,,,,"Google, Uber, Airbnb",Jeff Bezos' personal investment vehicle
Vulcan Capital,Family Office,Technology / Real Estate / Impact,Multi-stage,US / Global,Yes — Impact investing focus,$5M–$100M+,Both,Warm Intro Recommended,https://vulcan.com,,https://www.linkedin.com/company/vulcan-inc,https://twitter.com/vulcaninc,,Various tech and impact,Paul Allen estate
March Capital,Family Office,Technology / AI / Cybersecurity,Series A–B,US,No specific focus,$5M–$25M,Lead,Warm Intro Recommended,https://marchcp.com,,https://www.linkedin.com/company/march-capital-partners,https://twitter.com/marchaborcp,,Various AI/cybersecurity,LA-based family office / VC hybrid
Wadhwani Foundation,Family Office,Technology / Entrepreneurship,Seed / Early,India / Global,Yes — Focus on job creation in developing economies,$100K–$5M,Follow,Open Application,https://www.wadhwanifoundation.org,,https://www.linkedin.com/company/wadhwani-foundation,https://twitter.com/wadhwani_f,,Various India startups,Romesh Wadhwani
Oprah Winfrey (Harpo),Family Office,Consumer / Media / Wellness,Seed to Growth,US,Yes — Focus on women and POC entrepreneurs,$1M–$25M,Follow,Referral Only,,,,https://twitter.com/Oprah,,"Weight Watchers, True Food Kitchen, various",Selective investments via Harpo
Laurene Powell Jobs (Emerson Collective),Family Office,Education / Technology / Climate,Early to Growth,US / Global,Yes — Focus on social justice and equity,$1M–$50M,Lead,Warm Intro Recommended,https://www.emersoncollective.com,,https://www.linkedin.com/company/emerson-collective,https://twitter.com/emersoncollect,,Various education/impact ventures,Steve Jobs' widow
Susquehanna Growth Equity,Family Office,Technology / Multi-sector,Growth,US / Global,No specific focus,$10M–$100M+,Follow,Warm Intro Recommended,https://sfrg.com,,https://www.linkedin.com/company/susquehanna-growth-equity,,,Various tech growth,Yefet family
Blue Pool Capital,Family Office,Technology / Multi-sector,Growth,Asia / Global,No specific focus,$10M–$100M+,Follow,Referral Only,https://www.bluepoolcap.com,,https://www.linkedin.com/company/blue-pool-capital,,,Various tech/consumer,Jack Ma / Joe Tsai family office
Wefox Family Office (Horizons),Family Office,Insurtech / Fintech,Early to Growth,Europe,No specific focus,€1M–€20M,Follow,Warm Intro Recommended,,,,,,"wefox, various insurtech",European insurtech family office
Hauser Private Equity (Wietlisbach),Family Office,Technology / Multi-sector,Growth,Europe / Global,No specific focus,$5M–$50M,Follow,Referral Only,,,,,,Various European tech,Partners Group co-founder
RIT Capital Partners (Rothschild),Family Office,Technology / Multi-sector,Growth,Global,No specific focus,$5M–$100M+,Follow,Referral Only,https://www.ritcap.com,,https://www.linkedin.com/company/rit-capital-partners,,,Various global tech,Rothschild family
Vy Capital,Family Office,Technology / Internet,Growth,Global,No specific focus,$5M–$100M+,Lead,Warm Intro Recommended,https://www.vycapital.com,,https://www.linkedin.com/company/vy-capital,,,"Flo Health, Playrix, InDrive",Alexander Tamas' investment vehicle
Mumtalakat,Family Office,Technology / Multi-sector,Growth,MENA / Global,No specific focus,$10M–$100M+,Follow,Referral Only,https://www.mumtalakat.bh,,https://www.linkedin.com/company/mumtalakat,,,Various MENA/global,Bahrain sovereign wealth / family office
Jebsen Group Family Office,Family Office,Technology / Consumer,Early to Growth,Hong Kong / Asia,No specific focus,$1M–$20M,Follow,Referral Only,,,,,,Various HK/Asia consumer,Hong Kong-based family office
KIRKBI (LEGO Family),Family Office,Technology / Sustainability / Play,Growth,Europe / Global,No specific focus,$5M–$50M,Follow,Referral Only,https://www.kirkbi.com,,https://www.linkedin.com/company/kirkbi,,,"Niantic, Epic Games, various",LEGO family holding company
Google Ventures (GV),CVC,Technology / Life Science / AI,Seed to Growth,US / Europe,No specific focus,$100K–$50M,Lead,Open Application,https://www.gv.com,,https://www.linkedin.com/company/gv,https://twitter.com/googleventaborures,https://www.youtube.com/@GVteam,"Uber, Slack, Stripe",Alphabet's venture arm
Salesforce Ventures,CVC,Enterprise / SaaS / AI,Seed to Growth,Global,Yes — Trailblazer Fund for underrepresented founders,$500K–$100M+,Both,Open Application,https://www.salesforceventures.com,,https://www.linkedin.com/company/salesforce-ventures,https://twitter.com/salesforcevc,,"Snowflake, DocuSign, Zoom",World's largest cloud-focused CVC
Intel Capital,CVC,Semiconductors / AI / Cloud,Early to Growth,Global,Yes — Intel Capital Diversity Fund,$1M–$50M,Both,Open Application,https://www.intelcapital.com,,https://www.linkedin.com/company/intel-capital,https://twitter.com/intelcapital,,"MongoDB, DocuSign, Cloudera",One of the most active CVCs
Samsung NEXT,CVC,Technology / AI / Blockchain,Seed to Growth,Global,No specific focus,$500K–$25M,Both,Open Application,https://www.samsungnext.com,,https://www.linkedin.com/company/samsung-next,https://twitter.com/samsungnext,,Various AI/blockchain startups,Samsung's innovation arm
Microsoft M12,CVC,Enterprise / AI / Infrastructure,Series A–C,Global,No specific focus,$1M–$25M,Both,Open Application,https://m12.vc,,https://www.linkedin.com/company/m12vc,https://twitter.com/M12vc,,"Grab, Cruise, various",Microsoft's venture fund
Qualcomm Ventures,CVC,5G / IoT / AI / Automotive,Early to Growth,Global,No specific focus,$500K–$25M,Both,Open Application,https://www.qualcommventures.com,,https://www.linkedin.com/company/qualcomm-ventures,https://twitter.com/qualcommventure,,"Zoom, Fitbit, 99 Taxis",Qualcomm's investment arm
Cisco Investments,CVC,Networking / Security / Infrastructure,Early to Growth,Global,No specific focus,$1M–$50M,Both,Open Application,https://www.cisco.com/c/en/us/about/csr/impact/cisco-investments.html,,https://www.linkedin.com/company/cisco,https://twitter.com/cisco,,"Meraki, Jasper, various",Cisco's venture arm
Nvidia GPU Ventures,CVC,AI / Deep Learning / Robotics,Early to Growth,Global,No specific focus,$1M–$25M,Both,Open Application,https://www.nvidia.com,,https://www.linkedin.com/company/nvidia,https://twitter.com/nvidia,,"CoreWeave, Recursion, various AI",Strategic AI investments
Amazon Alexa Fund,CVC,Voice / AI / Smart Home,Seed to Series B,Global,No specific focus,$500K–$10M,Both,Open Application,https://developer.amazon.com/alexa-fund,,https://www.linkedin.com/company/amazon,https://twitter.com/alexafund,,"Ring, Ecobee, various voice/AI",Voice/AI focused
Comcast Ventures,CVC,Media / Enterprise / Connectivity,Seed to Growth,US,Yes — Catalyst Fund for diverse founders,$500K–$25M,Both,Open Application,https://comcastventures.com,,https://www.linkedin.com/company/comcast-ventures,https://twitter.com/comaborcastventures,,"FanDuel, Slack, various",Comcast's venture arm
Sapphire Sport (SAP),CVC,Sport / Technology,Seed to Series B,US / Europe,No specific focus,$500K–$10M,Both,Open Application,https://sapphire.vc,,https://www.linkedin.com/company/sapphire-ventures,https://twitter.com/sapphirevc,,Various sports tech,SAP ecosystem
Robert Bosch Venture Capital,CVC,Industrial IoT / Mobility / Energy,Early to Growth,Europe / Global,No specific focus,€500K–€20M,Both,Open Application,https://www.rbvc.com,,https://www.linkedin.com/company/robert-bosch-venture-capital,https://twitter.com/boschaborvc,,Various industrial IoT/mobility,Bosch's venture arm
BMW i Ventures,CVC,Mobility / Sustainability / Supply Chain,Early to Growth,US / Europe,No specific focus,$500K–$25M,Both,Open Application,https://www.bmwiventures.com,,https://www.linkedin.com/company/bmw-i-ventures,https://twitter.com/bmwiventures,,"Chargepoint, Nauto, Lime",BMW's venture fund
Porsche Ventures,CVC,Mobility / AI / Web3,Seed to Growth,US / Europe,No specific focus,$500K–$20M,Both,Open Application,https://ventures.porsche.com,,https://www.linkedin.com/company/porsche-ventures,https://twitter.com/porsche_vc,,Various mobility/AI startups,Porsche's strategic VC
Siemens Venture Capital (SVC),CVC,Industrial Tech / Energy / Health,Early to Growth,Europe / Global,No specific focus,€1M–€20M,Both,Open Application,https://new.siemens.com/global/en/company/venture-capital.html,,https://www.linkedin.com/company/siemens,,,Various industrial tech,Siemens industrial focus
Citi Ventures,CVC,Fintech / Commerce / Data,Early to Growth,Global,No specific focus,$1M–$25M,Both,Open Application,https://www.citigroup.com/global/our-impact/innovation/citi-ventures,,https://www.linkedin.com/company/citi-ventures,https://twitter.com/citiaborventures,,"Square, Plaid, various fintech",Citibank's venture arm
American Express Ventures,CVC,Fintech / Commerce / Travel,Early to Growth,US / Global,No specific focus,$1M–$15M,Both,Open Application,https://www.americanexpress.com/ventures,,https://www.linkedin.com/company/american-express,,,"Stripe, Plaid, Bill.com",Amex's venture arm
Visa Ventures,CVC,Fintech / Payments / Commerce,Early to Growth,Global,No specific focus,$1M–$25M,Both,Open Application,https://usa.visa.com/about-visa/visa-ventures.html,,https://www.linkedin.com/company/visa,https://twitter.com/visa,,"Square, Marqeta, Plaid",Visa's strategic fund
Mastercard Start Path (Strategic Investments),CVC,Fintech / Payments / Crypto,Early to Growth,Global,Yes — Start Path program for diverse founders,$500K–$15M,Both,Open Application,https://www.mastercard.com/startpath,,https://www.linkedin.com/company/mastercard,https://twitter.com/mastercard,,Various fintech/payments,Mastercard's startup engagement
Alphabet / CapitalG,CVC,Technology / AI / Healthcare,Growth,Global,No specific focus,$10M–$100M+,Lead,Warm Intro Recommended,https://www.capitalg.com,,https://www.linkedin.com/company/capitalg,https://twitter.com/capitalg,,"Stripe, Duolingo, CrowdStrike",Alphabet's growth fund
Slack Fund (Salesforce),CVC,Workplace / Collaboration / SaaS,Seed to Series B,US / Global,No specific focus,$250K–$5M,Follow,Open Application,https://slack.com/fund,,https://www.linkedin.com/company/slack,https://twitter.com/slackaborhq,,Various workplace/SaaS startups,Now under Salesforce umbrella
Workday Ventures,CVC,Enterprise / HR / Finance,Early Stage,US,No specific focus,$1M–$10M,Follow,Open Application,https://www.workday.com/en-us/company/workday-ventures.html,,https://www.linkedin.com/company/workday,https://twitter.com/workday,,Various HR/enterprise,Workday's venture arm
Aramco Ventures,CVC,Energy / Sustainability / Deeptech,Early to Growth,Global / MENA,No specific focus,$5M–$50M,Both,Warm Intro Recommended,https://www.aramcoventures.com,,https://www.linkedin.com/company/saudi-aramco-energy-ventures,,,Various energy/sustainability,Saudi Aramco's venture arm
LG Technology Ventures,CVC,AI / Robotics / Energy,Early to Growth,Global / Korea,No specific focus,$1M–$20M,Both,Open Application,https://www.lgtechventures.com,,https://www.linkedin.com/company/lg-technology-ventures,,,Various AI/robotics,LG's venture arm
Sony Innovation Fund,CVC,Entertainment / AI / Robotics,Seed to Growth,Global / Japan,No specific focus,$500K–$10M,Both,Open Application,https://www.sonyinnovationfund.com,,https://www.linkedin.com/company/sony-innovation-fund,,,Various entertainment/AI startups,Sony's venture arm
Mitsubishi UFJ Capital,CVC,Technology / Fintech / Healthcare,Early to Growth,Japan / Global,No specific focus,$500K–$20M,Both,Open Application,https://www.mucap.co.jp/en/,,https://www.linkedin.com/company/mitsubishi-ufj-capital,,,Various fintech/healthcare,Japan's major banking CVC
Tencent Investment,CVC,Gaming / Social / Fintech / AI,Early to Growth,Global / China,No specific focus,$1M–$500M+,Both,Warm Intro Recommended,https://www.tencent.com,,https://www.linkedin.com/company/tencent,https://twitter.com/taborencent,,"Spotify, Snap, Epic Games",One of world's most active CVCs
Baidu Ventures,CVC,AI / Autonomous Driving,Early to Growth,China / US,No specific focus,$1M–$20M,Both,Open Application,https://ventures.baidu.com,,https://www.linkedin.com/company/baidu-ventures,,,Various AI startups,Baidu's AI-focused fund
1752vc (Formerly Pegasus),VC,Technology / Multi-sector,Seed to Series A,US,Yes — Female founders,$250K–$2M,Lead,Open Application,https://www.1752vc.com,,https://www.linkedin.com/company/1752vc,,,Various early-stage tech companies,Formerly Pegasus — female founder focused
Greycroft,VC,Consumer / Digital Media / E-commerce,Seed to Growth,US,Yes — Female founders,$500K–$25M,Lead,Warm Intro Recommended,https://www.greycroft.com,,https://www.linkedin.com/company/greycroft,https://twitter.com/greaborycroft,,"Bumble, Venmo, Huffington Post",NYC & LA based — active in consumer/digital media
Acrew Capital,VC,Enterprise / Consumer / Deep Tech,Seed to Series B,US,Yes — Female founders,$500K–$15M,Lead,Warm Intro Recommended,https://www.acrewcapital.com,,https://www.linkedin.com/company/acrew-capital,https://twitter.com/acrewcapital,,"Webflow, dbt Labs, Persona",Founded by Theresia Gouw and Lauren Kolodny
Slauson & Co.,VC,Consumer / Technology,Pre-Seed / Seed,US (Los Angeles),Yes — Female founders,$100K–$1M,Lead,Open Application,https://www.slausonco.com,,https://www.linkedin.com/company/slauson-co,,,"Pipe, PlayVS, various",LA-based diverse and community-focused fund
Act One Ventures,VC,Enterprise / SaaS / Consumer,Pre-Seed / Seed,US (Los Angeles),Yes — Female founders,$250K–$2M,Lead,Open Application,https://www.actoneventures.com,,https://www.linkedin.com/company/act-one-ventures,,,Various early-stage tech,LA-based seed fund focused on diverse founders
Amplifyher Ventures,VC,Commerce / Care / Connectivity,Seed / Early,US,Yes — Female founders,$250K–$1M,Lead,Open Application,https://www.amplifyherventures.com,,https://www.linkedin.com/company/amplifyher-ventures,,,"Recess, various consumer",Invests in commerce / care / connectivity sectors
Angel Academe,Angel Group,Technology / Social Impact,Seed / Early,UK,Yes — Female founders,£10K–£250K,Follow,Open Application,https://angelacademe.com,,https://www.linkedin.com/company/angel-academe,https://twitter.com/angelacademe,,Various female-founded UK startups,Women-focused UK angel network
Array Ventures,VC,Technology / Multi-sector,Pre-Seed / Seed,US / Global,Yes — Female founders,$100K–$500K,Both,Open Application,https://www.arrayventures.com,,https://www.linkedin.com/company/array-ventures,,,Various early-stage startups,Venture studio empowering early-stage startups
Astia,VC,Technology / Multi-sector,Seed to Series A,Global,Yes — Female founders,$25K–$500K,Both,Open Application,https://astia.org,,https://www.linkedin.com/company/astia,https://twitter.com/astiaorg,,Various women-led startups,Gender-inclusive investing and advisory platform
Mucker Capital,VC,Technology / SaaS / Consumer,Seed to Series A,US (Los Angeles),Yes — Female founders,$500K–$3M,Lead,Open Application,https://www.muckercapital.com,,https://www.linkedin.com/company/mucker-capital,https://twitter.com/maboruckercap,,"ServiceTitan, Honey, Goat",LA's leading seed-stage fund
Backstage Capital,VC,Technology / Consumer / Enterprise,Pre-Seed / Seed,US / Global,"Yes — Female founders, POC, LGBTQ+",$25K–$500K,Both,Open Application,https://backstagecapital.com,,https://www.linkedin.com/company/backstage-capital,https://twitter.com/backstagecap,,Various underrepresented-led startups,Arlan Hamilton's fund for underrepresented founders
BBG Ventures,VC,Consumer / Commerce / Health,Pre-Seed / Seed,US (New York),Yes — Female founders,$250K–$1M,Lead,Open Application,https://www.bbgventures.com,,https://www.linkedin.com/company/bbg-ventures,https://twitter.com/bbgventures,,"Zola, The Wing, various",Invests in consumer startups with female founders
Capita3,VC,Healthcare / Wellness / Digital Health,Seed to Series A,US,Yes — Female founders,$250K–$2M,Lead,Open Application,https://www.capita3.com,,https://www.linkedin.com/company/capita3,,,"Gabbi, Joylux, b.well",Health-focused VC with Leader Launch program
Chloe Capital,VC,Technology / Multi-sector,Pre-Seed / Seed,US,Yes — Female founders,$50K–$250K,Lead,Open Application,https://chloecapital.com,,https://www.linkedin.com/company/chloe-capital,https://twitter.com/chloecapital,,Various women-led startups,VC firm investing in women — runs accelerators nationwide
Cowboy Ventures,VC,Consumer / Enterprise / Fintech,Seed to Series A,US,Yes — Female founders,$500K–$5M,Lead,Warm Intro Recommended,https://www.cowboy.vc,,https://www.linkedin.com/company/cowboy-ventures,https://twitter.com/cowboyvc,,"Dollar Shave Club, Guild Education","Aileen Lee's fund — coined ""unicorn"" term"
Fearless Fund,VC,Technology / Consumer / Fintech,Pre-Seed to Series A,US,Yes — Female founders (women of color),$250K–$2M,Lead,Open Application,https://www.fearless.fund,,https://www.linkedin.com/company/fearless-fund,https://twitter.com/fearaborlessfund,,Various WOC-led startups,Invests in women of color led businesses
Female Founders Fund,VC,Consumer / Fintech / Health,Pre-Seed / Seed,US (New York),Yes — Female founders,$250K–$1M,Lead,Open Application,https://femalefoundersfund.com,,https://www.linkedin.com/company/female-founders-fund,https://twitter.com/ffvc,,"Zola, Tala, Maven Clinic",Anu Duggal's fund for female-led companies
Golden Seeds,VC,Technology / Multi-sector,Seed / Early,US,Yes — Female founders,$25K–$750K,Both,Open Application,https://goldenseeds.com,,https://www.linkedin.com/company/golden-seeds,https://twitter.com/goldenseedsfund,,Various women-led companies,One of the most active investors in women-led businesses
Halogen Ventures,VC,Consumer / DTC / Female-focused,Pre-Seed / Seed,US (Los Angeles),Yes — Female founders,$250K–$1M,Lead,Open Application,https://halogenvc.com,,https://www.linkedin.com/company/halogen-ventures,https://twitter.com/halogenvc,,"The Skimm, Highlight, various",Jesse Draper's fund investing in female founders
Hannah Grey VC,VC,SaaS / Healthcare / Consumer / AI,Pre-Seed / Seed,US (New York),Yes — Female founders,$500K–$2M,Lead,Open Application,https://www.hannahgrey.com,,https://www.linkedin.com/company/hannah-grey,,,Various early-stage customer-obsessed companies,Thesis-led VC investing in early-stage companies
HearstLab,VC,Technology / Media / Consumer,Seed to Series A,US (New York),Yes — Female founders,$500K–$2M,Both,Open Application,https://www.hearstlab.com,,https://www.linkedin.com/company/hearstlab,,,Various women-founded companies,Hearst Corporation's initiative supporting women-led startups
How Women Invest,VC,Technology / Consumer / Climate,Pre-Seed / Seed,US,Yes — Female founders,$100K–$500K,Follow,Open Application,https://www.howwomeninvest.com,,https://www.linkedin.com/company/how-women-invest,,,Various women-founded startups,Empowering women investors and female founders
Illuminate Ventures,VC,Enterprise / Cloud / SaaS,Seed to Series A,US (San Francisco),Yes — Female founders,$500K–$3M,Lead,Warm Intro Recommended,https://www.illuminate.com,,https://www.linkedin.com/company/illuminate-ventures,https://twitter.com/illuminatevc,,Various enterprise cloud companies,Cindy Padnos' fund — enterprise and cloud focus
Inspired Capital,VC,Technology / Multi-sector,Seed to Series A,US (New York),Yes — Female founders,$1M–$5M,Lead,Warm Intro Recommended,https://www.inspiredcapital.com,,https://www.linkedin.com/company/inspired-capital,,,Various early-stage tech companies,Alexa von Tobel's fund — founder of LearnVest
January Ventures,VC,Technology / Multi-sector,Pre-Seed,US,Yes — Female founders,$150K–$500K,Lead,Open Application,https://www.januaryventures.com,,https://www.linkedin.com/company/january-ventures,,,Various pre-seed startups,Pre-seed fund backing underestimated founders
Mendoza Ventures,VC,AI / Fintech / Cybersecurity,Seed to Series A,US (Boston),Yes — Female founders,$250K–$2M,Lead,Open Application,https://www.mendozaventures.com,,https://www.linkedin.com/company/mendoza-ventures,https://twitter.com/mendozaventures,,Various AI/fintech startups,Latinx-founded VC focused on AI and fintech
Mindshift Capital,VC,Technology / Multi-sector,Seed to Series A,Global (MENA focus),Yes — Female founders,$100K–$1M,Lead,Warm Intro Recommended,https://www.mindshiftcapital.com,,https://www.linkedin.com/company/mindshift-capital,,,Various women-led companies across 10+ countries,Women-run global VC with gender-lens investing
Revenge Capital,VC,Technology / Consumer,Seed / Early,US,Yes — Female founders,$250K–$2M,Lead,Open Application,https://www.revengecapital.com,,https://www.linkedin.com/company/revenge-capital,,,Various female-founded startups,Female-founder focused venture fund
Serena Ventures,VC,Consumer / Health / Fintech / Food,Pre-Seed to Series A,US,Yes — Female founders,$250K–$5M,Lead,Open Application,https://www.serenaventures.com,,https://www.linkedin.com/company/serena-ventures,https://twitter.com/seraborenaventures,,"Noom, MasterClass, Daily Harvest",Serena Williams' fund — focus on diverse founders
SoGal Ventures,VC,Consumer / Health / Female-focused,Pre-Seed / Seed,US / Global,Yes — Female founders,$100K–$500K,Lead,Open Application,https://www.sogalventures.com,,https://www.linkedin.com/company/sogal-ventures,https://twitter.com/sogalventures,,Various female-founded global startups,Pocket Sun's fund — youngest female VC at launch
The Artemis Fund,VC,Consumer / Fintech / Health,Pre-Seed to Series A,US (Houston),Yes — Female founders,$250K–$2M,Lead,Open Application,https://www.theartmisfund.com,,https://www.linkedin.com/company/the-artemis-fund,,,Various women-led startups,Houston-based VC investing in women-led companies
The Helm,VC,Technology / Multi-sector,Seed / Early,US (New York) / UK (London),Yes — Female founders,$250K–$2M,Lead,Open Application,https://thehelm.co,,https://www.linkedin.com/company/the-helm,https://twitter.com/thehelmco,,"itselectric, Venus Aerospace, Tia",NYC & London-based — invests in women-founded companies
Ulu Ventures,VC,Enterprise / Technology,Seed to Series A,US (Palo Alto),Yes — Female founders,$250K–$2M,Lead,Warm Intro Recommended,https://uluventures.com,,https://www.linkedin.com/company/ulu-ventures,https://twitter.com/uluventures,,Various diverse-founded enterprises,Miriam Rivera's fund — Stanford lecturer — Latina VC pioneer
