Name,Email,Location (City),Location (State),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Priority Tier,Thesis Match Score,Why This Investor is a Fit,Warm Intro Path,Relationship Strength,Status,Suggested Angle,Speed of Close,Likelihood
Daniel Gross,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,AI / Deep Tech / Developer Tools,https://linkedin.com/in/dangross,https://dcgross.com,dcgross.com,Tier 2 - Super Angel,8/10,Individual Angel focused on AI / Deep Tech / Developer Tools. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Nivi (Babak Nivi),,US,,US,Individual Angel,Pre-Seed to Seed,Tech / SaaS / Marketplaces,,https://venturehacks.com,venturehacks.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Tech / SaaS / Marketplaces. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Nir Eyal,,US,,US,Individual Angel,Pre-Seed to Seed,Consumer / Behavioral Design / EdTech,https://linkedin.com/in/nireyal,https://nirandfar.com,nirandfar.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Behavioral Design / EdTech. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ryan Hoover,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Community / Creator,https://linkedin.com/in/ryanhoover,https://ryanhoover.me,ryanhoover.me,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Community / Creator. Stage: Pre-Seed to Seed. Check: $5K-$50K.,Apply: https://ryanhoover.me,None,Not Contacted,,Medium,Medium
Hiten Shah,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,SaaS / Analytics / Product,https://linkedin.com/in/hitenshah,https://hitenism.com,hitenism.com,Tier 2 - Super Angel,8/10,Individual Angel focused on SaaS / Analytics / Product. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://hitenism.com,None,Not Contacted,,Medium,Medium
Steph Smith,,US,,US,Individual Angel,Pre-Seed to Seed,Creator Economy / Developer Tools / Content,https://linkedin.com/in/stephsmithio,https://stephsmith.io,stephsmith.io,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Creator Economy / Developer Tools / Content. Stage: Pre-Seed to Seed. Check: $5K-$50K.,Apply: https://stephsmith.io,None,Not Contacted,,Medium,Medium
Harry Stebbings,,London,,UK,Individual Angel,Pre-Seed to Seed,SaaS / Enterprise / Consumer,https://linkedin.com/in/harrystebbings,https://20vc.com,20vc.com,Tier 2 - Super Angel,8/10,Individual Angel focused on SaaS / Enterprise / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://20vc.com,None,Not Contacted,,Medium,Medium
Reshma Shetty,,Boston,MA,US,Individual Angel,Pre-Seed to Seed,Biotech / Synthetic Biology / Climate,https://linkedin.com/in/reshmashetty,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Biotech / Synthetic Biology / Climate. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Julia Hartz,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Events / Tech,https://linkedin.com/in/juliahartz,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Events / Tech. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Katrina Lake,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Retail / AI/ML,https://linkedin.com/in/katrinalake,,,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Retail / AI/ML. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jenny Lefcourt,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Marketplace / Female-focused,https://linkedin.com/in/jennylefcourt,https://freestylevc.com,freestylevc.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Marketplace / Female-focused. Stage: Pre-Seed to Seed. Check: $25K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ann Miura-Ko,,Palo Alto,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / Deep Tech / Marketplace,https://linkedin.com/in/annmiurako,https://floodgate.com,floodgate.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Enterprise / Deep Tech / Marketplace. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Kirsten Green,,San Francisco,CA,US,Individual Angel,Seed to Series A,Consumer / DTC / Retail,https://linkedin.com/in/kirstengreen,https://forerunnerventures.com,forerunnerventures.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / DTC / Retail. Stage: Seed to Series A. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Sarah Tavel,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Marketplace / Growth,https://linkedin.com/in/sarahtavel,https://benchmark.com,benchmark.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Marketplace / Growth. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Theresia Gouw,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / Security / Cloud,https://linkedin.com/in/tgouw,https://acrew.capital,acrew.capital,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Enterprise / Security / Cloud. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Sukhinder Singh Cassidy,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Marketplace / Enterprise,https://linkedin.com/in/sukhinder,https://borderfree.com,borderfree.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Marketplace / Enterprise. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Mac Conwell,,Baltimore,MD,US,Individual Angel,Pre-Seed to Seed,Enterprise / SaaS / Diverse Founders,https://linkedin.com/in/macconwell,https://rarebreedvc.com,rarebreedvc.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Enterprise / SaaS / Diverse Founders. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://rarebreedvc.com,None,Not Contacted,,Medium,Medium
Brian Rumao,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / SaaS / Fintech,https://linkedin.com/in/brianrumao,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / SaaS / Fintech. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
April Underwood,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / SaaS / Climate,https://linkedin.com/in/aprilunderwood,,,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / SaaS / Climate. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Lenny Rachitsky,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Product / Growth,https://linkedin.com/in/lennyrachitsky,https://lennysnewsletter.com,lennysnewsletter.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Product / Growth. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://lennysnewsletter.com,None,Not Contacted,,Medium,Medium
Erik Torenberg,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Tech / Community / Crypto,https://linkedin.com/in/eriktorenberg,https://turpentine.co,turpentine.co,Tier 2 - Super Angel,7/10,Individual Angel focused on Tech / Community / Crypto. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Apply: https://turpentine.co,None,Not Contacted,,Medium,Medium
Pomp (Anthony Pompliano),,Miami,FL,US,Individual Angel,Pre-Seed to Seed,Crypto / Fintech / Consumer,https://linkedin.com/in/anthonypompliano,https://pomp.co,pomp.co,Tier 2 - Super Angel,8/10,Individual Angel focused on Crypto / Fintech / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://pomp.co,None,Not Contacted,,Medium,Medium
Alexia Bonatsos,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / AI / Crypto,https://linkedin.com/in/alexiabonatsos,https://dreammachinevp.com,dreammachinevp.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / AI / Crypto. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://dreammachinevp.com,None,Not Contacted,,Medium,Medium
Mike Maples Jr,,Austin,TX,US,Individual Angel,Pre-Seed to Seed,Enterprise / Consumer / Deep Tech,https://linkedin.com/in/maborkin,https://floodgate.com,floodgate.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / Consumer / Deep Tech. Stage: Pre-Seed to Seed. Check: $50K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Dave Morin,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Social / Health,https://linkedin.com/in/davemorin,https://slow.co,slow.co,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Social / Health. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Craig Newmark,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Civic Tech / Journalism / Cybersecurity,https://linkedin.com/in/craignewmark,https://craignewmarkphilanthropies.org,craignewmarkphilanthropies.org,Tier 2 - Super Angel,7/10,Individual Angel focused on Civic Tech / Journalism / Cybersecurity. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jude Gomila,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,AI / Fintech / Deep Tech,https://linkedin.com/in/judegomila,https://goldenfm.com,goldenfm.com,Tier 2 - Super Angel,8/10,Individual Angel focused on AI / Fintech / Deep Tech. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://goldenfm.com,None,Not Contacted,,Medium,Medium
Brian Singerman,,San Francisco,CA,US,Individual Angel,Seed to Series A,Biotech / Deep Tech / Frontier,https://linkedin.com/in/briansingerman,https://foundersfund.com,foundersfund.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Biotech / Deep Tech / Frontier. Stage: Seed to Series A. Check: $100K-$2M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Parker Conrad,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / HR Tech / Vertical SaaS,https://linkedin.com/in/parkerconrad,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / HR Tech / Vertical SaaS. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Immad Akhund,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Fintech / SaaS / Developer Tools,https://linkedin.com/in/immadakhund,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Fintech / SaaS / Developer Tools. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Guillermo Rauch,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Developer Tools / Infrastructure / AI,https://linkedin.com/in/guillrauch,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Developer Tools / Infrastructure / AI. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Sriram Krishnan,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Social / AI / Crypto,https://linkedin.com/in/sriramk,,,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Social / AI / Crypto. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Delian Asparouhov,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Defense / Space / Deep Tech,https://linkedin.com/in/delianasparouhov,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Defense / Space / Deep Tech. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Packy McCormick,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Consumer / Strategy / Web3,https://linkedin.com/in/packymccormick,https://notboring.co,notboring.co,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Strategy / Web3. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://notboring.co,None,Not Contacted,,Medium,Medium
Sahil Bloom,,US,,US,Individual Angel,Pre-Seed to Seed,Consumer / Creator Economy / Health,https://linkedin.com/in/sahilbloom,https://sahilbloom.com,sahilbloom.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Creator Economy / Health. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://sahilbloom.com,None,Not Contacted,,Medium,Medium
Stefan Batory,,London,,Europe,Individual Angel,Pre-Seed to Seed,Marketplaces / Logistics / Fintech,https://linkedin.com/in/stefanbatory,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Marketplaces / Logistics / Fintech. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Carlos Eduardo Espinal,,London,,Europe,Individual Angel,Pre-Seed to Seed,Enterprise / SaaS / Deep Tech,https://linkedin.com/in/cespaborkin,https://seedcamp.com,seedcamp.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / SaaS / Deep Tech. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://seedcamp.com,None,Not Contacted,,Medium,Medium
Christoph Janz,,Berlin,,Europe,Individual Angel,Pre-Seed to Seed,SaaS / Marketplaces / Enterprise,https://linkedin.com/in/christophjanz,https://pointninecap.com,pointninecap.com,Tier 2 - Super Angel,8/10,Individual Angel focused on SaaS / Marketplaces / Enterprise. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://pointninecap.com,None,Not Contacted,,Medium,Medium
Taavet Hinrikus,,London,,Europe,Individual Angel,Pre-Seed to Seed,Fintech / Consumer / Deep Tech,https://linkedin.com/in/taavethinrikus,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Fintech / Consumer / Deep Tech. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Niklas Zennström,,London,,Europe,Individual Angel,Seed to Series A,Tech / Climate / Deep Tech,https://linkedin.com/in/niklaszennstrom,https://atomico.com,atomico.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Tech / Climate / Deep Tech. Stage: Seed to Series A. Check: $100K-$2M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Eileen Burbidge,,London,,UK,Individual Angel,Pre-Seed to Seed,Fintech / Marketplace / Enterprise,https://linkedin.com/in/eileenburbidge,https://passion.capital,passion.capital,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Fintech / Marketplace / Enterprise. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://passion.capital,None,Not Contacted,,Medium,Medium
Ed Zimmerman,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Enterprise / Legal Tech / Media,https://linkedin.com/in/edzimmerman,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / Legal Tech / Media. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Manu Kumar,,Palo Alto,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / SaaS / Dev Tools,https://linkedin.com/in/manuaborkin,https://k9ventures.com,k9ventures.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / SaaS / Dev Tools. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ben Ling,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Fintech / Enterprise,https://linkedin.com/in/benling,https://bling.capital,bling.capital,Tier 2 - Super Angel,8/10,Individual Angel focused on Consumer / Fintech / Enterprise. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Apply: https://bling.capital,None,Not Contacted,,Medium,Medium
Itai Tsiddon,,Tel Aviv,,Israel,Individual Angel,Pre-Seed to Seed,Consumer / Social / Gaming,https://linkedin.com/in/itaitsiddon,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Social / Gaming. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Michael Seibel,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Enterprise / YC founders,https://linkedin.com/in/mseibel,https://ycombinator.com,ycombinator.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Enterprise / YC founders. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://ycombinator.com,None,Not Contacted,,Medium,Medium
Gustaf Alströmer,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Growth / Consumer / SaaS,https://linkedin.com/in/gustaf,https://ycombinator.com,ycombinator.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Growth / Consumer / SaaS. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://ycombinator.com,None,Not Contacted,,Medium,Medium
Kat Mañalac,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Community / Culture,https://linkedin.com/in/katmanalac,https://ycombinator.com,ycombinator.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Community / Culture. Stage: Pre-Seed to Seed. Check: $10K-$50K.,Apply: https://ycombinator.com,None,Not Contacted,,Medium,Medium
Tikhon Bernstam,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / Developer / Consumer,https://linkedin.com/in/tikhon,https://parseventures.com,parseventures.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / Developer / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ricardo Reis,,Lisbon,,Europe,Individual Angel,Pre-Seed to Seed,Fintech / Marketplace / SaaS,https://linkedin.com/in/ricardoreis,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Fintech / Marketplace / SaaS. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Peng T. Ong,,Singapore,,Asia,Individual Angel,Pre-Seed to Seed,Enterprise / AI / SaaS,https://linkedin.com/in/pengaborkin,https://monkshill.com,monkshill.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / AI / SaaS. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://monkshill.com,None,Not Contacted,,Medium,Medium
Khailee Ng,,Kuala Lumpur,,Asia,Individual Angel,Pre-Seed to Seed,Consumer / Fintech / Marketplace,https://linkedin.com/in/khaborkin,https://500.co,500.co,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Fintech / Marketplace. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Apply: https://500.co,None,Not Contacted,,Medium,Medium
Kunal Shah,,Mumbai,,India,Individual Angel,Pre-Seed to Seed,Fintech / Consumer / SaaS,https://linkedin.com/in/kunalshah1,https://credclub.in,credclub.in,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Fintech / Consumer / SaaS. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Nithin Kamath,,Bangalore,,India,Individual Angel,Pre-Seed to Seed,Fintech / Consumer / EdTech,https://linkedin.com/in/nithinkamath,https://rainmatter.com,rainmatter.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Fintech / Consumer / EdTech. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Apply: https://rainmatter.com,None,Not Contacted,,Medium,Medium
Sandeep Nailwal,,Dubai,,US,Individual Angel,Pre-Seed to Seed,Crypto / Web3 / Infrastructure,https://linkedin.com/in/sandeepnailwal,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Crypto / Web3 / Infrastructure. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Mike Jones,,Los Angeles,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Media / Entertainment,https://linkedin.com/in/mikejones,https://scienceincubator.com,scienceincubator.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Media / Entertainment. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://scienceincubator.com,None,Not Contacted,,Medium,Medium
Gil Penchina,,Reno,NV,US,Individual Angel,Pre-Seed to Seed,Tech / Consumer / Enterprise,https://linkedin.com/in/gilpenchina,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Tech / Consumer / Enterprise. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Medium,Medium
David Cancel,,Boston,MA,US,Individual Angel,Pre-Seed to Seed,SaaS / MarTech / Conversational AI,https://linkedin.com/in/dcancel,https://drift.com,drift.com,Tier 2 - Super Angel,8/10,Individual Angel focused on SaaS / MarTech / Conversational AI. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Brendan Wallace,,Los Angeles,CA,US,Individual Angel,Pre-Seed to Seed,Real Estate Tech / Climate / Fintech,https://linkedin.com/in/brendanwallace,https://fifthwall.com,fifthwall.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Real Estate Tech / Climate / Fintech. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://fifthwall.com,None,Not Contacted,,Medium,Medium
Justin Kan,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Gaming / Legal Tech,https://linkedin.com/in/justinkan,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Gaming / Legal Tech. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Sheel Mohnot,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Fintech / Payments / SaaS,https://linkedin.com/in/sheelmohnot,https://betterbeveryday.vc,betterbeveryday.vc,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Fintech / Payments / SaaS. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://betterbeveryday.vc,None,Not Contacted,,Medium,Medium
Jake Chapman,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,AI / Enterprise / SaaS,https://linkedin.com/in/jakechapman,,,Tier 2 - Super Angel,8/10,Individual Angel focused on AI / Enterprise / SaaS. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Gigi Levy-Weiss,,Tel Aviv,,Israel,Individual Angel,Pre-Seed to Seed,Consumer / Gaming / Marketplace,https://linkedin.com/in/gigilevyweiss,https://nfx.com,nfx.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Gaming / Marketplace. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://nfx.com,None,Not Contacted,,Medium,Medium
Pete Flint,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Marketplace / PropTech,https://linkedin.com/in/pflint,https://nfx.com,nfx.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Marketplace / PropTech. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://nfx.com,None,Not Contacted,,Medium,Medium
James Currier,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Marketplace / Network Effects / Consumer,https://linkedin.com/in/jamescurrier,https://nfx.com,nfx.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Marketplace / Network Effects / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://nfx.com,None,Not Contacted,,Medium,Medium
Marcos Galperin,,Buenos Aires,,LATAM,Individual Angel,Pre-Seed to Seed,E-commerce / Fintech / Marketplace,https://linkedin.com/in/marcosgalperin,,,Tier 5 - Diversity Focus,8/10,Individual Angel focused on E-commerce / Fintech / Marketplace. Stage: Pre-Seed to Seed. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
David Vélez,,São Paulo,,LATAM,Individual Angel,Pre-Seed to Seed,Fintech / Consumer / Latin America,https://linkedin.com/in/davidvelez,,,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Fintech / Consumer / Latin America. Stage: Pre-Seed to Seed. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Santiago Subotovsky,,San Francisco,CA,LATAM,Individual Angel,Pre-Seed to Seed,Fintech / SaaS / LATAM,https://linkedin.com/in/saborkin,https://emergence.com,emergence.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Fintech / SaaS / LATAM. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://emergence.com,None,Not Contacted,,Medium,Medium
Yuri Milner,,Silicon Valley,,US,Individual Angel,Seed to Series A,Tech / Consumer / Deep Tech,https://linkedin.com/in/yurimilner,https://dst.global,dst.global,Tier 2 - Super Angel,7/10,Individual Angel focused on Tech / Consumer / Deep Tech. Stage: Seed to Series A. Check: $100K-$10M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Masayoshi Son,,Tokyo,,US,Individual Angel,Series A+,Tech / AI / Telecom,,https://softbank.com,softbank.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Tech / AI / Telecom. Stage: Series A+. Check: $1M+.,Research needed,None,Not Contacted,,Slow,Low-Medium
Li Ka-shing,,Hong Kong,,US,Individual Angel,Seed to Growth,Tech / Real Estate / Health,,https://horizonsventures.com,horizonsventures.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Tech / Real Estate / Health. Stage: Seed to Growth. Check: $100K-$10M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Golden Seeds,,New York,NY,US,Angel Group,Pre-Seed to Series A,Diverse / Women-led businesses,https://linkedin.com/company/golden-seeds,https://goldenseeds.com,goldenseeds.com,Tier 3 - Angel Group,7/10,Angel Group focused on Diverse / Women-led businesses. Stage: Pre-Seed to Series A. Check: $25K-$1M.,Apply: https://goldenseeds.com,None,Not Contacted,,Medium,Medium
Tech Coast Angels,,Southern California,CA,US,Angel Group,Pre-Seed to Series A,Tech / Biotech / Consumer,https://linkedin.com/company/tech-coast-angels,https://techcoastangels.com,techcoastangels.com,Tier 3 - Angel Group,7/10,Angel Group focused on Tech / Biotech / Consumer. Stage: Pre-Seed to Series A. Check: $50K-$500K.,Apply: https://techcoastangels.com,None,Not Contacted,,Medium,Medium
Keiretsu Forum,,Global,,US,Angel Group,Pre-Seed to Series A,Tech / Life Sciences / Real Estate,https://linkedin.com/company/keiretsu-forum,https://keiretsuforum.com,keiretsuforum.com,Tier 3 - Angel Group,7/10,Angel Group focused on Tech / Life Sciences / Real Estate. Stage: Pre-Seed to Series A. Check: $50K-$2M.,Apply: https://keiretsuforum.com,None,Not Contacted,,Medium,Medium
Band of Angels,,Silicon Valley,,US,Angel Group,Seed to Series A,Tech / Enterprise / Life Sciences,https://linkedin.com/company/band-of-angels,https://bandangels.com,bandangels.com,Tier 3 - Angel Group,8/10,Angel Group focused on Tech / Enterprise / Life Sciences. Stage: Seed to Series A. Check: $100K-$1M.,Apply: https://bandangels.com,None,Not Contacted,,Medium,Medium
New York Angels,,New York,NY,US,Angel Group,Pre-Seed to Series A,Tech / Consumer / Health,https://linkedin.com/company/new-york-angels,https://newyorkangels.com,newyorkangels.com,Tier 3 - Angel Group,7/10,Angel Group focused on Tech / Consumer / Health. Stage: Pre-Seed to Series A. Check: $50K-$1M.,Apply: https://newyorkangels.com,None,Not Contacted,,Medium,Medium
