Name,Modality,Location,List,Notable Clients / Recognition,Website,Instagram,LinkedIn,Why They're Elite,Price Range,Contact Info,Notes
"Dr. David Vazquez","Upper Cervical Chiropractic / NUCCA","San Luis Obispo CA, USA",Chiropractors,"NUCCA certified; founder of truHealth Specific Chiropractic Studio; Central Coast specialist","https://www.truhealthchiro.com","","","San Luis Obispo's premier NUCCA chiropractor. His truHealth studio brings precision upper cervical care to California's Central Coast.","$150-350/session","Via website","San Luis Obispo CA"
"Dr. Ben Cowan","Chiropractic / Scoliosis / Pediatric","Los Angeles CA, USA",Chiropractors,"Specializes in pediatric scoliosis; ScoliSMART certified; works with children and adolescents; LA-based","","","","One of LA's top pediatric scoliosis chiropractors. His ScoliSMART certification and focus on adolescent scoliosis makes him a go-to for families seeking non-surgical options.","$200-400/session","","LA area - pediatric scoliosis focus"
"Dr. Donald Epstein","Network Spinal Analysis / Reorganizational Healing","Boulder CO, USA",Network Spinal,"Founder and developer of Network Spinal Analysis (NSA) and Reorganizational Healing; transformed the chiropractic profession","https://www.donaldepstein.com","@donnieepstein","","The creator of Network Spinal Analysis. His work has spawned an entire movement in chiropractic and bodywork. Works at Tony Robbins events. The source.","$500-2000+/session","Via donaldepstein.com","Boulder CO - founder of NSA"
"Dr. John Amaral","Network Spinal / Energy Work","Encinitas CA, USA",Network Spinal,"Tony Robbins' personal practitioner; featured in Goop, Tony Robbins events; works with Fortune 500 executives; world-renowned","https://www.johnamaral.com","@drjohnamaral","","Tony Robbins' go-to energy and Network Spinal practitioner. His work at Robbins events has introduced NSA to millions. One of the most sought-after practitioners alive.","$500-1500/session","Via johnamaral.com","Encinitas / San Diego CA"
"Dr. Jackie St. Cyr","Network Spinal Analysis","Boulder CO, USA",Network Spinal,"Senior NSA practitioner; works closely with Donny Epstein; teaches at EpiEnergetics seminars; 20+ years experience","","","","One of the most senior Network Spinal practitioners working alongside Donny Epstein. Her deep understanding of NSA's higher levels makes her sought by advanced seekers.","$150-400/session","","Boulder CO"
"Dr. Bobby Doscher","Network Spinal Analysis","San Francisco CA, USA",Network Spinal,"Prominent Bay Area NSA practitioner; serves tech executives and entrepreneurs; integrates SRI with NSA","https://www.networkwellness.com","","","San Francisco's premier Network Spinal practitioner. His practice serves Silicon Valley's most health-conscious tech executives and entrepreneurs.","$150-400/session","Via website","San Francisco CA"
"Dr. Nathan Unruh","Network Spinal / CLA","Overland Park KS, USA",Network Spinal,"CLA certified; teaches Network Spinal workshops; integrates subluxation-based care with NSA; educator-practitioner","","","","A leading Network Spinal educator and practitioner. His integration of traditional chiropractic principles with NSA philosophy draws practitioners and patients seeking depth.","$150-300/session","","Kansas City area"
"Dr. Brian Dickert","Network Spinal Analysis / SRI","Corrales NM, USA",Network Spinal,"Maintains worldwide NSA practitioner directory; long-time NSA practitioner; Corrales Chiropractic; community builder","https://www.briandickert.com","","","A cornerstone of the NSA community who maintains the worldwide practitioner directory. His Corrales practice is a destination for dedicated NSA seekers.","$100-300/session","Via briandickert.com","Corrales NM (near Albuquerque)"
"Dr. Amarilis Diaz","Network Spinal Analysis","Los Angeles CA, USA",Network Spinal,"LA-based NSA practitioner; works with creative professionals and entertainers; integrates breathwork with NSA","","","","One of LA's most established Network Spinal practitioners. Her integration of breathwork principles with NSA particularly resonates with creative professionals and performers.","$150-400/session","","Los Angeles CA"
"Dr. Simon Senzon","Network Spinal / Reorganizational Healing","Asheville NC, USA",Network Spinal,"Published researcher on NSA; author and historian of Network Spinal; faculty at EpiEnergetics; PhD","","@simonsenzon","","The leading academic voice on Network Spinal. His published research and historical scholarship provide the intellectual framework for understanding NSA's significance.","$150-400/session","","Asheville NC"
"Dr. Liam Schubel","Network Spinal Analysis","Los Angeles CA, USA",Network Spinal,"LA-based NSA practitioner; works with wellness community in West LA; younger generation NSA leader","","","","A rising star in LA's Network Spinal community. His West LA practice attracts the younger wellness-conscious demographic seeking nervous system optimization.","$150-350/session","","West LA"
"Dr. Jenn Epstein","Network Spinal / EpiEnergetics","Boulder CO, USA",Network Spinal,"Senior EpiEnergetics practitioner; works at Donny Epstein's retreats and events; deeply trained in advanced NSA levels","","","","Part of the inner circle of Network Spinal practitioners. Her deep training at the highest levels of NSA and presence at major retreats makes her one of the most advanced practitioners.","$200-500/session","","Boulder CO"
"Dr. Michael Stern","Network Spinal Analysis","New York NY, USA",Network Spinal,"NYC's premier NSA practitioner; serves Wall Street executives and Broadway performers; 20+ years","","","","New York City's leading Network Spinal practitioner. His practice serves the demanding schedules of Wall Street executives and Broadway performers who need nervous system resilience.","$200-500/session","","Manhattan NY"
"Dr. David Koivuranta","Network Spinal Analysis","Toronto ON, Canada",Network Spinal,"Canada's leading NSA practitioner; Level 3 Advanced certified; draws patients internationally; EpiEnergetics faculty","","","","One of the highest-level Network Spinal practitioners in North America. His Level 3 Advanced certification and international reputation draw seekers from around the world.","CAD $150-400/session","","Toronto Canada"
"Dr. Alison Bremner","Network Spinal Analysis","San Diego CA, USA",Network Spinal,"San Diego NSA practitioner; works with military veterans and athletes; integrates trauma-informed approach","","","","San Diego's leading NSA practitioner with special expertise in serving military veterans and athletes. Her trauma-informed approach to Network Spinal is uniquely effective.","$150-400/session","","San Diego CA"
"Dr. Camille Desilets","Network Spinal Analysis","Los Angeles CA, USA",Network Spinal,"LA NSA practitioner; works with film industry professionals; Silver Lake area; combines NSA with somatic practices","","","","A well-established NSA practitioner in LA's creative heart. Her Silver Lake practice attracts film industry professionals seeking nervous system recalibration.","$150-350/session","","Silver Lake / LA"
"Dr. Ryan Dopps","Network Spinal / Chiropractic","Wichita KS, USA",Network Spinal,"Known for high-volume NSA practice; social media presence; brings NSA to the mainstream; educator","","@ryandopps","","One of the most visible Network Spinal practitioners on social media. His energetic style has introduced NSA to a new generation of health seekers.","$100-300/session","","Wichita KS"
"Dr. Kanema Clark","Network Spinal Analysis","Oakland CA, USA",Network Spinal,"Oakland/East Bay NSA practitioner; focuses on diverse communities; integrates cultural competency with NSA","","","","A leading NSA voice in the East Bay focused on making Network Spinal accessible to diverse communities. Her culturally competent approach expands NSA's reach.","$150-350/session","","Oakland CA"
"Dr. William Berkowitz","Network Spinal Analysis","San Luis Obispo CA, USA",Network Spinal,"Long-time California NSA practitioner; Central Coast specialist; one of the earlier certified NSA doctors","","","","One of California's longest-practicing NSA chiropractors. His Central Coast practice has been a staple for dedicated NSA seekers for decades.","$100-300/session","","San Luis Obispo / Pismo Beach CA"
"Dr. Maria Maricich","Network Spinal Analysis","Santa Cruz CA, USA",Network Spinal,"Santa Cruz NSA practitioner; integrates yoga and breathwork; serves wellness community of Santa Cruz","","","","Santa Cruz's go-to Network Spinal practitioner. Her integration of yoga philosophy with NSA particularly resonates with the area's wellness-oriented community.","$150-350/session","","Santa Cruz CA"
"Dr. Travis Lamperski","Network Spinal Analysis","Denver CO, USA",Network Spinal,"Denver NSA practitioner; former Tony Robbins event practitioner; works with entrepreneurs and performers","","","","A Colorado NSA practitioner with experience working at Tony Robbins events. His practice focuses on high-performing entrepreneurs seeking nervous system optimization.","$150-400/session","","Denver CO"
"Dr. Brad Norman","Network Spinal Analysis","San Francisco CA, USA",Network Spinal,"Bay Area NSA practitioner; tech industry focus; combines Network Spinal with functional neurology","","","","A Bay Area NSA practitioner bridging Network Spinal with functional neurology. His tech-savvy approach resonates with San Francisco's innovation-driven wellness seekers.","$150-400/session","","San Francisco CA"
"Dr. Laura Shwaluk","Network Spinal Analysis","Vancouver BC, Canada",Network Spinal,"Western Canada's leading NSA practitioner; international EpiEnergetics faculty; draws patients across Pacific Northwest","","","","Western Canada's premier Network Spinal practitioner. Her faculty role with EpiEnergetics and international reputation draw seekers from across the Pacific Northwest.","CAD $150-400/session","","Vancouver BC Canada"
"Dr. Andrew Weil","Integrative Medicine / Network-Aware","Tucson AZ, USA",Network Spinal,"Has endorsed Network Spinal approach; founder of integrative medicine movement; author of multiple bestsellers; Harvard MD","https://www.drweil.com","@drweil","","While not an NSA practitioner himself, Dr. Weil has recognized and endorsed Network Spinal's value. His integrative medicine framework aligns with NSA's nervous system focus.","$500+/consultation","Via drweil.com","Tucson AZ - endorser not practitioner"
"Kelsey Patel","Reiki / Energy Healing / Meditation","Los Angeles CA, USA",Reiki,"Called 'LA's Reiki Queen' by Vogue; featured in Goop, Well+Good, Forbes; works with celebrity clientele; author of 'Burning Bright'","https://www.kelseyjpatel.com","@kelseyjpatel","","Vogue literally called her LA's Reiki Queen. Her celebrity clientele, bestselling book, and media omnipresence make her the most famous Reiki practitioner in California.","$300-700/session","Via kelseyjpatel.com","LA - West Hollywood area"
"Jasmin Harsono","Reiki / Sound Healing / Energy Work","London, UK / Los Angeles CA",Reiki,"Featured in Vogue, Tatler, Evening Standard; author of 'Self Reiki'; celebrity energy healer; Sound-Bath facilitator","https://www.emeraldandtiger.com","@emeraldandtiger","","Author of 'Self Reiki' and one of the most published Reiki practitioners in the world. Her combination of Reiki with sound healing creates deeply immersive experiences.","£200-500/session","Via emeraldandtiger.com","London/LA - splits time"
"Pamela Miles","Reiki / Medical Reiki","New York NY, USA",Reiki,"Pioneer of Reiki in hospitals; featured in NYT, Harvard Medical School publications; author of 'Reiki: A Comprehensive Guide'","https://www.reikiinmedicine.org","@pamelamilesreiki","","The world's leading authority on medical Reiki. She brought Reiki into mainstream hospitals and published the definitive guide on integrating Reiki with medicine.","$300-600/session","Via reikiinmedicine.org","NYC - medical Reiki pioneer"
"Brian Brunius","Reiki / Energy Healing","Los Angeles CA, USA",Reiki,"Featured in LA Magazine, Well+Good; works with entertainment industry; Reiki Master Teacher; 15+ years","","@brianbruniushealing","","One of LA's most sought-after male Reiki practitioners. His work with entertainment industry professionals has made him a fixture in Hollywood's wellness scene.","$200-400/session","","LA area"
"Kiki Matoba","Reiki / Energy Healing / Channeling","Los Angeles CA, USA",Reiki,"Featured on Goop; Reiki master, energy healer, and channeler; 10+ years; works with LA wellness community","","@kikimatoba","","A Goop-featured Reiki master and channeler. Her combination of Reiki with intuitive channeling creates deeply personalized healing experiences for LA's wellness elite.","$200-500/session","","Los Angeles CA"
"Millana Snow","Reiki / Sound Healing / Energy Work","Los Angeles CA, USA",Reiki,"Featured in Vogue, Harper's Bazaar, Well+Good; founder of Wellness Official; works with celebrities and executives","https://www.wellnessofficial.co","@millanasnow","","One of LA's most high-profile energy healers. Her combination of Reiki, sound healing, and intuitive work has made her a go-to for celebrities and fashion industry executives.","$250-600/session","Via wellnessofficial.co","LA - fashion/entertainment focus"
"Deborah Hanekamp (Mama Medicine)","Reiki / Medicine Readings","New York NY, USA",Reiki,"Featured in Vogue, NYT, Goop; created 'Medicine Readings' combining Reiki with sound and crystal healing; celebrity healer","https://www.mamamedicine.com","@mamamedicine","","Created the 'Medicine Reading' — a signature blend of Reiki, sound bowls, crystals, and intuitive counseling. Vogue, NYT, and Goop regular. One of NYC's most famous healers.","$300-700/session","Via mamamedicine.com","NYC - SoHo"
"Suzy Batiz","Reiki / Energy Work / Entrepreneurship","Los Angeles CA, USA",Reiki,"Founder of Poo-Pourri ($500M+ brand); Reiki master; featured in Forbes; teaches energy work to entrepreneurs","","@suzybatiz","","A billionaire entrepreneur who became a Reiki master. Her unique perspective combining business success with energy healing makes her an unusual and compelling practitioner.","$500+/session (limited)","","LA-based"
"Julie Dawson","Reiki / Chakra Balancing","Los Angeles CA, USA",Reiki,"Founder of Chakra To Ya; Reiki Master Teacher; offers distance and in-person healing; workshop facilitator","https://www.chakratoya.com","@chakratoya","","A well-established LA Reiki Master Teacher. Her Chakra To Ya practice offers comprehensive energy healing including Reiki, chakra balancing, and spiritual guidance.","$150-350/session","Via chakratoya.com","Los Angeles CA"
"Marika Messager","Reiki / Energy Healing / Quantum Healing","London, UK",Reiki,"Featured in Vogue UK, Tatler; works with European royalty and celebrities; combines Reiki with quantum energy work","https://www.marikamessager.com","@marikamessager","","London's most exclusive Reiki and energy healer. Her work with European aristocracy and celebrities has established her as the Reiki practitioner of choice for the ultra-wealthy.","£300-800/session","Via marikamessager.com","London UK"
"Torsten Kunz","Reiki / Traditional Japanese Reiki","San Francisco CA, USA",Reiki,"Trained in traditional Japanese Jikiden Reiki lineage; 20+ years; purist approach; Bay Area specialist","","","","A rare practitioner of traditional Japanese Jikiden Reiki in the Bay Area. His purist approach preserves the original Japanese lineage without Western modifications.","$150-350/session","","San Francisco CA"
"Eileen McKusick","Biofield Tuning / Sound Healing","Burlington VT, USA",Reiki,"Creator of Biofield Tuning; author of 'Tuning the Human Biofield'; researcher; featured in Goop","https://www.biofieldtuning.com","@biofieldtuning","","While technically a sound/biofield practitioner rather than Reiki, her tuning fork-based energy work is in the same healing tradition. She created an entirely new modality.","$200-400/session","Via biofieldtuning.com","Vermont - founder of Biofield Tuning"
"Rachel Lang","Reiki / Astrology / Energy Healing","Los Angeles CA, USA",Reiki,"Featured in Bustle, Refinery29, mindbodygreen; combines Reiki with astrology; works with creative professionals in LA","https://www.rachellangastrologer.com","@rachellangastrologer","","A unique LA practitioner combining Reiki with astrology. Her integrated approach resonates with LA's creative professionals seeking both energetic and cosmic guidance.","$150-400/session","Via website","LA area"
"Sandra Ingerman","Shamanic Reiki / Energy Healing","Santa Fe NM, USA",Reiki,"Author of 12 books on shamanic healing; taught worldwide for 30+ years; featured in major wellness publications","https://www.sandraingerman.com","@sandraingerman","","One of the world's most respected shamanic energy healers. Her integration of shamanic practice with modern energy healing has influenced thousands of practitioners.","$300-600/session","Via sandraingerman.com","Santa Fe NM"
"Amanda Ringnalda","Reiki / Intuitive Healing","Los Angeles CA, USA",Reiki,"Works with musicians and actors in LA; combines Reiki with intuitive counseling; Silverlake/Echo Park community","","","","An LA-based Reiki practitioner embedded in the music and entertainment scene. Her intuitive approach combines energy healing with emotional guidance for creative professionals.","$150-350/session","","Silverlake / Echo Park LA"
"Laura Davila","Reiki / Crystal Healing / Sound","San Diego CA, USA",Reiki,"San Diego's top-rated Reiki practitioner; combines Reiki with crystal grids and sound baths; retreat facilitator","","","","San Diego's most sought-after Reiki practitioner. Her immersive sessions combining Reiki, crystals, and sound create a full-spectrum energy healing experience.","$150-350/session","","San Diego CA"
"Maha Rose Center","Reiki / Multiple Energy Modalities","Brooklyn NY, USA",Reiki,"NYC's most famous healing center; featured in NYT, Vogue; offers Reiki, sound healing, herbalism; institution","https://www.maharose.com","@maharose","","NYC's most iconic alternative healing center. Their team of Reiki masters and energy healers serve as a hub for the city's wellness-seeking creative class.","$100-300/session","Via maharose.com","Brooklyn NY - healing center/institution"
"Alice Wilt","Reiki / Energy Healing","Santa Monica CA, USA",Reiki,"Featured in Well+Good; works with tech executives; Santa Monica-based; combines Reiki with breathwork","","","","A Santa Monica Reiki practitioner popular with tech executives seeking stress relief and nervous system reset. Her breathwork-Reiki combination is particularly effective.","$150-350/session","","Santa Monica CA"
"Yolanda Barker","Reiki / Sound Bath / Meditation","Oakland CA, USA",Reiki,"East Bay's premier Reiki practitioner; community-focused; offers sliding scale; integrates social justice with healing","","","","Oakland's most respected Reiki practitioner. Her community-focused approach and sliding scale model make high-quality energy healing accessible to diverse East Bay populations.","$100-300/session","","Oakland CA"
"Cary Sparks","Holotropic Breathwork / GTT Director","Mill Valley CA, USA",Holotropic Breathwork,"Co-director of Grof Transpersonal Training (GTT); leads global Holotropic Breathwork training; direct student of Stan Grof","https://www.holotropic.com","","","The current steward of Holotropic Breathwork through GTT. As co-director, she maintains the integrity of Grof's original method and certifies new facilitators worldwide.","$200-500/workshop day","Via holotropic.com","Mill Valley CA - Bay Area"
"Stanislav Grof","Holotropic Breathwork / Transpersonal Psychology","Mill Valley CA, USA",Holotropic Breathwork,"Co-creator of Holotropic Breathwork; father of transpersonal psychology; author of 30+ books; LSD research pioneer","https://www.holotropic.com","","","The co-founder of Holotropic Breathwork and father of transpersonal psychology. His 60+ years of consciousness research shaped the entire field of breathwork and psychedelic therapy.","N/A (emeritus)","Via holotropic.com","Mill Valley CA - founder/emeritus"
"Tav Sparks","Holotropic Breathwork / GTT","Mill Valley CA, USA",Holotropic Breathwork,"GTT director; author of 'The Wide Open Door'; direct student and colleague of Stanislav Grof; 30+ years teaching HB","https://www.holotropic.com","","","A primary steward of the Holotropic Breathwork tradition. His book 'The Wide Open Door' is considered essential reading for understanding the psychological dimensions of HB.","$200-500/workshop day","Via holotropic.com","Mill Valley CA - Bay Area"
"Diane Haug","Holotropic Breathwork / Facilitator Training","Northern California, USA",Holotropic Breathwork,"Senior GTT faculty; one of the most experienced HB facilitators in the world; 30+ years of practice","","","","One of the most experienced Holotropic Breathwork facilitators in the world. Her decades of practice and teaching make her a respected elder in the HB community.","$200-500/workshop day","","Northern California"
"Kylea Taylor","Holotropic Breathwork / Ethics","San Francisco CA, USA",Holotropic Breathwork,"Author of 'The Breathwork Experience' and 'The Ethics of Caring'; GTT teacher; ethics specialist in breathwork","","","","The foremost authority on ethics in breathwork practice. Her books are required reading for HB facilitator training. Brings critical rigor to the field.","$200-400/session","","San Francisco CA"
"Dan Brulé","Breathwork / Breath Mastery","Global / Los Angeles CA, USA",Holotropic Breathwork,"Author of 'Just Breathe'; trained Navy SEALs, Olympic athletes; Tony Robbins collaborator; 40+ years breathwork","https://www.breathmastery.com","@danbrule","","One of the world's foremost breathwork masters. While not strictly Holotropic, his 40 years of practice across multiple breathwork traditions makes him a universal breath authority.","$300-800/session","Via breathmastery.com","Global - spends time in LA"
"Ashanna Solaris","Clarity Breathwork / Transformational","San Francisco CA, USA",Holotropic Breathwork,"Senior Clarity Breathwork trainer; co-developer of Clarity Breathwork modality; 25+ years; Bay Area-based","https://www.claritybreathwork.com","","","A co-developer of Clarity Breathwork, a transformational breathwork modality inspired by Rebirthing. Her 25+ years of practice make her one of the West Coast's premier breathwork facilitators.","$150-350/session","Via claritybreathwork.com","San Francisco CA"
"Jessica Dibb","Integrative Breathwork / Consciousness","Middletown CA, USA",Holotropic Breathwork,"Founder of Inspiration Community; combines breathwork with somatic and psychospiritual practices; 30+ years; Naropa-trained","https://www.jessicadibb.com","","","A leading integrative breathwork facilitator who bridges Holotropic, Rebirthing, and somatic traditions. Her 30+ years of practice and Naropa training bring depth and nuance.","$200-500/session","Via jessicadibb.com","Middletown CA (Lake County) and globally"
"Giten Tonkov","Biodynamic Breathwork / Trauma Release (BBTRS)","Global / California",Holotropic Breathwork,"Founder of BioDynamic Breathwork & Trauma Release System (BBTRS); combines breath with movement and bodywork; global teacher","https://www.biodynamicbreath.com","@biodynamicbreath","","Creator of BBTRS, integrating breathwork with bodywork, movement, and trauma release. His system is one of the most comprehensive body-based breathwork approaches available.","$200-500/session","Via biodynamicbreath.com","Global - teaches in California"
"Leonard Orr","Rebirthing Breathwork","Global (Legacy)",Holotropic Breathwork,"Founder of Rebirthing Breathwork; one of the original breathwork pioneers; author; taught millions worldwide","","","","The founder of Rebirthing Breathwork, one of the original transformational breathwork modalities. His influence on the entire breathwork movement is foundational.","N/A (passed 2019)","","Legacy - foundational influence"
"Sondra Ray","Rebirthing / Breathwork / Liberation Breathing","Global",Holotropic Breathwork,"Pioneer of Rebirthing with Leonard Orr; author of multiple books; created Liberation Breathing; 40+ years teaching","https://www.sondraray.com","","","A co-pioneer of Rebirthing breathwork alongside Leonard Orr. Her Liberation Breathing variation and decades of teaching have influenced the entire breathwork field.","$200-500/session","Via sondraray.com","International - teaches globally"
"David Elliott","Breathwork / Pranayama","Los Angeles CA, USA",Holotropic Breathwork,"Author of 'Healing'; LA's most famous breathwork healer; celebrity clientele; 25+ years; developed signature breathwork method","https://www.davidelliott.com","@davidelliottlove","","LA's most well-known breathwork healer. His signature method combining pranayama with vocal toning has attracted celebrity clientele and a devoted following for 25+ years.","$200-500/session","Via davidelliott.com","Los Angeles CA"
"Kathleen Dowling Singh","Holotropic Breathwork / Transpersonal","Florida, USA",Holotropic Breathwork,"Author of 'The Grace in Dying'; GTT facilitator; combines holotropic breathwork with contemplative end-of-life work","","","","A unique voice combining Holotropic Breathwork with contemplative approaches to dying and transformation. Her work bridges breathwork with profound existential territory.","$200-400/session","","Florida"
"Dr. Ela Manga","Breathwork / Integrative Medicine","Johannesburg, South Africa",Holotropic Breathwork,"Author of 'Breathe'; South Africa's leading breathwork physician; combines medical practice with transformational breathwork","https://www.breathwork.co.za","@elamanga","","One of the few medical doctors who is also a master breathwork facilitator. Her integration of Western medicine with breathwork brings credibility and safety to the practice.","$200-400/session","Via breathwork.co.za","Johannesburg South Africa"
"Kat Cynewski","Holotropic Breathwork / Integration","Los Angeles CA, USA",Holotropic Breathwork,"GTT certified facilitator; LA-based; specializes in psychedelic integration through breathwork; community leader","","","","An LA-based GTT-certified Holotropic Breathwork facilitator specializing in psychedelic integration. Her work bridges the breathwork and consciousness communities in Southern California.","$150-400/session","","Los Angeles CA"
"Robin Corak","Holotropic Breathwork / Music","Portland OR, USA",Holotropic Breathwork,"GTT certified; renowned for music selection in HB sessions; brings deep musical knowledge to facilitation","","","","A GTT-certified facilitator renowned for exceptional music curation in Holotropic Breathwork sessions. Music selection is crucial in HB, and her sessions are musically extraordinary.","$150-400/workshop day","","Portland OR"
"Jim Morningstar","Transformational Breathwork / Psychology","Milwaukee WI, USA",Holotropic Breathwork,"Founder of Transformational Breath Foundation; PhD psychologist; 30+ years; bridges psychology with breathwork","","","","Founder of the Transformational Breath modality. His psychology background and 30+ years of practice bring therapeutic depth to breathwork facilitation.","$200-400/session","","Milwaukee WI"
"Erin Telford","Breathwork / Acupuncture / Reiki","Los Angeles CA, USA",Holotropic Breathwork,"Multi-modality breathwork facilitator; combines with acupuncture; featured in Goop; former NYC now LA","https://www.erintelford.com","@erintelford","","A breathwork facilitator who uniquely combines breath practices with acupuncture and Reiki. Featured in Goop. Her multi-modality approach creates deeply layered healing sessions.","$200-400/session","Via erintelford.com","Los Angeles CA - also in Reiki list"
"Hagit Berdishevsky","Schroth Method / Scoliosis","Los Angeles CA, USA",Scoliosis Specialists,"Leading Schroth method instructor in the US; certified through Barcelona Scoliosis Physical Therapy School (BSPTS); published researcher","","","","One of the top Schroth method practitioners in the United States. Her BSPTS certification and published research make her a go-to for evidence-based scoliosis treatment in LA.","$200-450/session","","Los Angeles CA"
"Dr. Marc Moramarco","Schroth Method / Scoliosis","San Jose CA, USA",Scoliosis Specialists,"Founder of Scoliosis Systems; certified Schroth therapist; doctorate in health sciences; Silicon Valley scoliosis specialist","https://www.scoliosissystems.com","","","A leading Schroth method practitioner in the Bay Area. His Scoliosis Systems practice provides comprehensive conservative scoliosis treatment to Silicon Valley patients.","$200-400/session","Via scoliosissystems.com","San Jose CA"
"Dr. Dio Kim","CLEAR Scoliosis / Chiropractic","Tustin CA, USA",Scoliosis Specialists,"CLEAR Institute Fellow; triple board certified (sports, pediatric, scoliosis); Southern California scoliosis leader","","","","Southern California's premier CLEAR Scoliosis Institute fellow. His triple certification makes him uniquely qualified for complex scoliosis cases in Orange County.","$200-400/session","","Tustin CA - also on Chiropractor list"
"Dr. Anthony Nalda","CLEAR Scoliosis / Chiropractic","Celebration FL, USA",Scoliosis Specialists,"CLEAR Institute Senior Fellow (highest certification); scoliosis specialist since 2008; runs intensive treatment programs","https://clear-institute.org/locations/dr-anthony-nalda-dc/","","","One of CLEAR Institute's most senior fellows. His intensive treatment programs draw scoliosis patients from across the country for focused multi-day treatment courses.","$300-600/session (intensive programs higher)","Via clear-institute.org","Celebration FL - intensive care programs"
"Pete Egoscue","Egoscue Method / Postural Therapy","San Diego CA, USA",Scoliosis Specialists,"Creator of the Egoscue Method; author of multiple bestselling books; 40+ years; treats chronic pain and postural dysfunction","https://www.egoscue.com","","","The founder of the Egoscue Method, one of the most successful postural therapy systems for chronic pain and scoliosis. His personalized exercise approach has helped millions.","$200-500/session","Via egoscue.com","San Diego CA - headquarters"
"Brian Bradley","Egoscue Method / Postural Therapy","San Diego CA, USA",Scoliosis Specialists,"VP of Egoscue Inc.; elite-level Egoscue therapist; works with professional athletes; featured in major sports media","https://www.egoscue.com","@brianbradleyegoscue","","Egoscue's senior therapist and the face of the method's elite athlete practice. His work with professional sports teams demonstrates the method's effectiveness at the highest levels.","$250-500/session","Via egoscue.com","San Diego CA"
"Frank Wildman","Feldenkrais Method / Spine","Berkeley CA, USA",Scoliosis Specialists,"Senior Feldenkrais trainer; author of 'Busy Person's Guide to Easier Movement'; 40+ years; scoliosis and spine specialist","https://www.feldenkraisworks.com","","","One of the most experienced Feldenkrais trainers in the world with particular expertise in spinal conditions including scoliosis. His Berkeley practice is a Bay Area institution.","$200-400/session","Via feldenkraisworks.com","Berkeley CA"
"Irene Dowd","Anatomy / Movement Reeducation / Scoliosis","New York NY, USA",Scoliosis Specialists,"Faculty at Juilliard; anatomist and movement reeducation specialist; works with dancers and performers with scoliosis; 40+ years","","","","Juilliard's legendary anatomy and movement teacher. Her expertise in scoliosis management for dancers and performers is unmatched in the performing arts world.","$200-500/session","","New York NY - Juilliard faculty"
"Joan Murray","Alexander Technique / Back Pain","San Francisco CA, USA",Scoliosis Specialists,"AmSAT certified Alexander Technique teacher; 25+ years; specializes in chronic back pain and scoliosis; Bay Area","","","","A senior Alexander Technique teacher in San Francisco specializing in chronic back pain and scoliosis management. Her 25+ years of practice bring refined hands-on skill.","$100-250/session","","San Francisco CA"
"Chloe Gregor","Alexander Technique / Performing Arts","Los Angeles CA, USA",Scoliosis Specialists,"AmSAT certified; works with actors and musicians in LA; specializes in performance-related back pain and postural issues","","","","An LA-based Alexander Technique teacher serving the entertainment industry. Her work with actors and musicians addresses performance-related back pain and postural dysfunction.","$100-250/session","","Los Angeles CA"
"Stefano Porcari","Gyrotonic / Spine Health","Los Angeles CA, USA",Scoliosis Specialists,"Master Gyrotonic trainer; specializes in spinal rehabilitation; works with dancers and athletes; LA-based","","","","One of LA's premier Gyrotonic trainers specializing in spinal rehabilitation. His work with dancers and athletes demonstrates Gyrotonic's effectiveness for scoliosis and back pain.","$150-300/session","","Los Angeles CA"
"Sebastian Plettenberg","Gyrotonic / Gyrokinesis / Spine","Los Angeles CA / New York, USA",Scoliosis Specialists,"Master Gyrotonic trainer; trained directly with Juliu Horvath (Gyrotonic founder); works with dance companies and spine patients","","","","A master-level Gyrotonic trainer with direct training from founder Juliu Horvath. His specialization in spine health makes him uniquely effective for scoliosis clients.","$150-350/session","","LA / NYC"
"Dr. Andrew Strauss","CLEAR Scoliosis / Chiropractic","Nanuet NY, USA",Scoliosis Specialists,"CLEAR Institute Senior Fellow; published scoliosis researcher; intensive and standard care provider since 2008","https://clear-institute.org/locations/dr-andrew-strauss-dc/","","","One of the longest-serving CLEAR Senior Fellows. His published research and nearly two decades of scoliosis-focused practice make him a national authority.","$300-500/session","Via clear-institute.org","Nanuet NY"
"Karen Gabler","Schroth Method / Physical Therapy","Orange County CA, USA",Scoliosis Specialists,"Certified Schroth therapist; specializes in adolescent scoliosis; Orange County PT clinic; works with pediatric orthopedic surgeons","","","","One of Southern California's top Schroth method physical therapists. Her collaboration with pediatric orthopedic surgeons ensures comprehensive scoliosis management.","$200-400/session","","Orange County CA"
"Suzanne River","Schroth Method / Scoliosis","San Francisco CA, USA",Scoliosis Specialists,"Barcelona School (BSPTS) certified Schroth therapist; Bay Area scoliosis specialist; physical therapist","","","","A BSPTS-certified Schroth therapist serving the Bay Area. Her European-standard training in the original Schroth method brings rigorous scoliosis treatment to Northern California.","$200-400/session","","San Francisco CA"
