#,First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Source,Match Score,Assigned Dinner,Also Good For
88,Sherri,Haymond,Mastercard,"Corporate Venture Capital (CVC),Other",,https://www.linkedin.com/company/mastercard,https://www.mastercard.com/news/perspectives/venture-capital/,"Fintech,Crypto,Blockchain,Commerce,Cyber,Diversity,Networks,Social Impact",New York,vc_database,5,Angel Investor Dinner,
89,Carmichael,Roberts,Material Impact,Institutional Venture Capital (VC),,https://www.linkedin.com/company/material-impact,https://www.materialimpact.com,"AgTech,Biotech,Clean Tech,Deep Tech,Materials","Boston,New York",vc_database,5,Angel Investor Dinner,
90,Jan,Muus,MUUS Climate Partners,Impact Fund,,https://www.linkedin.com/company/muus-climate-partners,https://www.muusclimate.com,"AgTech,Clean Tech,Energy,Construction Tech,Sustainability,Transportation,Industrial,Manufacturing,Mobility",New York,vc_database,5,Angel Investor Dinner,
91,Patricia,Morreale,Nationwide Ventures,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/nationwide-ventures,https://www.nationwideventures.com,"Data,HRTech,Insurtech,Fintech,Mobility,Risk Management,Future of Work,All Sectors,Care Economy,AI/ML,AgTech,Analytics,Big Data,Clean Tech,Cyber,Enterprise,DevOps,Female Founders,Healthcare,IoT,PropTec","Columbus,New York",vc_database,5,Angel Investor Dinner,
92,Paul,Romer,NYU Impact Investing Fund (NIIF),Impact Fund,,https://www.linkedin.com/company/nyu-impact-investing-fund,https://www.nyuimpact.org,"Education,Healthcare,Mental Health,Fintech,Food,Clean Tech",New York,vc_database,5,Angel Investor Dinner,
93,Pratima,Rangarajan,OGCI Climate Investments,"Impact Fund,Growth Equity",,https://www.linkedin.com/company/ogci,https://www.ogci.com/climate-investments,"Energy,Industrial,Clean Tech,Sustainability","Houston,New York",vc_database,5,Angel Investor Dinner,
94,Nacho,Abia,Olympus Innovation Ventures,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/openview-,https://www.olympusventures.com,"Diagnostics,Femtech,Medtech,Health,Health Care Services,Healthcare",New York,vc_database,5,Angel Investor Dinner,
95,Robin,Godenrath,Picus Capital,Institutional Venture Capital (VC),,https://www.linkedin.com/company/piermont-ventures,https://www.picuscap.com,"Fintech,Technology,AI/ML,Health,Deep Tech,Insurtech,HRTech",New York,vc_database,5,Angel Investor Dinner,
96,Simon,Bachleda,Revelstoke Capital Partners,Growth Equity,,https://www.linkedin.com/company/revelstoke-capital-partners,https://www.revelstokecapital.com,"Health Care Services,Mental Health,Fitness,Healthcare",New York,vc_database,5,Angel Investor Dinner,
97,John,Spinale,Shine Capital,Institutional Venture Capital (VC),,https://www.linkedin.com/company/shine-capital,https://shine.vc,"Blockchain,Crypto,Fintech,Healthcare,Sustainability,Web3",New York,vc_database,5,Angel Investor Dinner,
98,David,Chang,Tenfore Holdings,Institutional Venture Capital (VC),,https://www.linkedin.com/company/tenfore-holdings,https://tenforeholdings.com,"AgTech,AI/ML,AR/VR,Apparel,Analytics,Communication,Community,Blockchain,Enterprise,Cyber,Data,Data Services,Deep Tech,Industrial,Healthcare,Logistics,Platforms,Transportation,All Sectors",New York,vc_database,5,Angel Investor Dinner,
99,Maya,Ciarrocchi,TSEF: The Social Entrepreneurs' Fund,Impact Fund,,,https://tsef.org,"Analytics,Civic Tech,Enterprise,Fintech,Healthcare,SaaS,Social Impact,Software,Future of Work,Risk Management","Boston,New York",vc_database,5,Angel Investor Dinner,
100,Leo,Fujisaki,Veranda Venture Partners,Impact Fund,,https://www.linkedin.com/company/verity-venture-partners,https://www.verandavp.com,"Clean Tech,Data,Consumer,Food,IoT,Logistics,Sustainability,Transportation,Mobility,Technology",New York,vc_database,5,Angel Investor Dinner,
