#,First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Source,Match Score,Lead?,Also Invests in Education?,Notes,Also Good For
102,Ekaterina,Malievskaia,Usona Institute,Angel / Philanthropist,,https://www.linkedin.com/in/ekaterina-malievskaia/,https://www.usonainstitute.org/,Psychedelics; Psilocybin; Mental Health Research,Madison WI,deep_research,8,Yes,No,Co-founder of Usona Institute; major funder of psilocybin depression research; medical doctor turned psychedelic advocate,HTW Dinners
103,Bill,Linton,Former Aphria CEO / Private Investor,Angel Investor,,https://www.linkedin.com/in/billlinton/,,Cannabis; Psychedelics; Mental Health; Life Sciences,Ontario Canada,deep_research,8,No,No,Former CEO of Aphria; angel investments in psychedelic-adjacent biotech companies,HTW Dinners
104,Ronan,Levy,Field Trip Health,Angel / Operator-Investor,,https://www.linkedin.com/in/ronanlevy/,https://www.fieldtriphealth.com/,Psychedelics; Ketamine Therapy; Mental Health Clinics,Toronto Canada,deep_research,8,Yes,No,Co-founder Field Trip Health; active angel in psychedelic medicine ecosystem,HTW Dinners
105,J.R.,Rahn,MindMed,Angel / Operator-Investor,,https://www.linkedin.com/in/jrrahn/,,Psychedelics; Neuroscience; Digital Medicine,New York NY,deep_research,8,Yes,No,Co-founder of MindMed; early psychedelic biotech entrepreneur; invests in neuro-adjacent startups,
106,Robert,Friedland,Ivanhoe Capital / Private Investor,Family Office,,https://www.linkedin.com/in/robert-friedland/,,Mining; Biotech; Psychedelics; Neuroscience,Singapore,deep_research,8,No,No,Billionaire mining magnate; early backer of psychedelic research; connected to consciousness exploration,
107,Daniel,Carcillo,Wesana Health,Angel / Operator-Investor,,https://www.linkedin.com/in/danielcarcillo/,,Psychedelics; TBI; Brain Health; Psilocybin,Chicago IL,deep_research,8,Yes,No,Former NHL player; founded Wesana Health for psilocybin-based TBI treatment; outspoken mental health + brain injury advocate,Pitch Slam; HTW Dinners
108,Lamar,Odom,Private Investor,Celebrity Investor,,,,Psychedelics; Ketamine Therapy; Mental Health; Wellness,Los Angeles CA,deep_research,8,No,No,Former NBA star; publicly invested in ketamine therapy clinics; mental health advocacy,HTW Dinners
109,Mike,Tyson,Tyson Ranch / Private Investor,Celebrity Investor,,,,Psychedelics; Cannabis; Wellness; Mental Health,Las Vegas NV,deep_research,8,No,No,Vocal psychedelic advocate; invested in toad-venom therapy and psychedelic wellness brands,HTW Dinners
110,Aaron,Rodgers,Private Investor,Celebrity Investor,,,,Psychedelics; Ayahuasca; Mental Health; Wellness,Los Angeles CA,deep_research,8,No,No,NFL quarterback; publicly discussed ayahuasca journeys; angel investments in mental health/wellness startups,HTW Dinners
111,Rick,Doblin,MAPS / Psychedelic Philanthropist,Angel / Philanthropist,,https://www.linkedin.com/in/rickdoblin/,https://maps.org/,Psychedelics; MDMA Therapy; PTSD; Mental Health Research,Boston MA,deep_research,8,Yes,YES ✅,Founder of MAPS; godfather of psychedelic medicine movement; also funds psychedelic education programs,HTW Dinners
112,Carey,Carpenter,Palo Santo / Private Investor,Angel Investor,,https://www.linkedin.com/in/careycarpenter/,,Psychedelics; Biotech; Mental Health; Neuroscience,San Francisco CA,deep_research,8,No,No,Founded Palo Santo; early-stage investor in psychedelic biotech,HTW Dinners
113,Boris,Nikolic,Biomatics Capital,Family Office / VC,,https://www.linkedin.com/in/boris-nikolic-md/,https://www.biomaticscapital.com/,Biotech; Genomics; Neuroscience; Digital Health,Seattle WA,deep_research,8,Yes,No,Former science advisor to Bill Gates; runs Biomatics Capital; invests in neuroscience and precision medicine,HTW Dinners
114,Martine,Rothblatt,United Therapeutics / Private Investor,Angel / Operator-Investor,,https://www.linkedin.com/in/martine-rothblatt/,,Biotech; Organ Manufacturing; Brain Tech; Consciousness; Transhumanism,Silver Spring MD,deep_research,8,Yes,YES ✅,Billionaire transhumanist; CEO United Therapeutics; funds consciousness research and brain-computer interface; also education initiatives,Pitch Slam
115,Thomas,Insel,Former NIMH Director / Private Investor,Angel Investor,,https://www.linkedin.com/in/thomasinsel/,,Neuroscience; Mental Health; Digital Therapeutics; Brain Tech,Palo Alto CA,deep_research,8,Yes,YES ✅,Former director of NIMH (13 years); angel investor in mental health tech; also invests in neuroscience education platforms,Pitch Slam; HTW Dinners
116,Adam,Gazzaley,Neuroscape / UCSF,Angel / Academic-Investor,,https://www.linkedin.com/in/adamgazzaley/,https://neuroscape.ucsf.edu/,Neuroscience; Brain Tech; Digital Therapeutics; Cognitive Health,San Francisco CA,deep_research,8,No,YES ✅,UCSF neuroscientist; co-founded Akili Interactive; advisor/investor in brain tech startups; also education,Pitch Slam; HTW Dinners
117,Tan,Le,EMOTIV,Angel / Operator-Investor,,https://www.linkedin.com/in/tanle/,https://www.emotiv.com/,Brain-Computer Interface; Neuroscience; EEG; Mental Health,San Francisco CA,deep_research,8,No,YES ✅,CEO of EMOTIV brain-sensing tech; angel investor in neurotechnology and brain education companies,Pitch Slam; HTW Dinners
118,Mary,Dahl,Masawa Fund,Angel / Impact Investor,,https://www.linkedin.com/in/marydahl/,https://masawa.fund/,Mental Health; Consciousness; Psychedelics; Impact Investing,Zurich Switzerland,deep_research,8,Yes,No,Partner at Masawa mental health impact fund; invests globally in mental wellness innovation,HTW Dinners
119,Lisa,Suennen,Manatt Phelps Phillips,Angel Investor,,https://www.linkedin.com/in/lisasuennen/,,Digital Health; Mental Health; Health Tech; Behavioral Health,San Francisco CA,deep_research,8,No,No,Managing partner of health at Manatt; prolific angel investor in behavioral health and digital therapeutics,HTW Dinners
120,Andy,Gold,OurCrowd / Private Investor,Angel Investor,,https://www.linkedin.com/in/andygold/,,Psychedelics; Biotech; Neuroscience; Health Tech,Tel Aviv Israel,deep_research,8,No,No,Active angel in Israeli psychedelic biotech; OurCrowd venture partner; backed multiple neuro startups,HTW Dinners
121,Harriet,de Speville,Iter Investments,Family Office,,https://www.linkedin.com/in/harriet-de-speville/,,Psychedelics; Mental Health; Wellness; Impact,London UK,deep_research,8,Yes,No,Runs Iter Investments focused on psychedelic and mental health ventures; UK-based family office,HTW Dinners
122,Tania,de Jong,Creative Universe / Angel Investor,Angel Investor,,https://www.linkedin.com/in/taniadejong/,,Mental Health; Psychedelics; Creativity; Wellness,Melbourne Australia,deep_research,8,No,YES ✅,Entrepreneur and angel; publicly invested in psychedelic-assisted therapy; also funds creativity/education ventures,HTW Dinners
123,Greg,Kubin,Vine Ventures,Angel / VC,,https://www.linkedin.com/in/gregkubin/,,Psychedelics; Mental Health; Consciousness Tech,San Francisco CA,deep_research,8,Yes,No,Host of Business Trip podcast on psychedelics; runs Vine Ventures investing in psychedelic ecosystem,HTW Dinners
124,Ryan,Zurrer,Dialectic / Private Investor,Family Office,,https://www.linkedin.com/in/ryanzurrer/,,Psychedelics; Web3; Consciousness; Wellness,Zug Switzerland,deep_research,8,No,No,Founder of Dialectic; psychedelic philanthropist; backed Compass Pathways and multiple psychedelic ventures,HTW Dinners
125,George,Sarlo,Walden Venture Capital,Angel / VC,,https://www.linkedin.com/in/george-sarlo/,,Neuroscience; Psychedelics; Consciousness; Life Sciences,San Francisco CA,deep_research,8,Yes,No,Co-founded Walden VC; major donor to psychedelic research at Johns Hopkins and UCSF,
126,Terry,Grossman,Private Investor / Physician,Angel Investor,,,,Longevity; Neuroscience; Brain Health; Anti-aging,Denver CO,deep_research,8,No,No,Longevity physician; co-author with Ray Kurzweil; angel investments in brain health and cognitive enhancement startups,Pitch Slam; HTW Dinners
127,Nichol,Bradford,Willow / Transformative Technology,Angel / Operator-Investor,,https://www.linkedin.com/in/nicholbradford/,https://www.transformativetech.org/,Consciousness; Mental Health Tech; Brain-Computer Interface; Transformative Tech,Los Angeles CA,deep_research,8,No,YES ✅,CEO of Willow; founder Transformative Technology; angel investor bridging consciousness tech and education,Pitch Slam; HTW Dinners
128,Steve,Jurvetson,Future Ventures,VC / Angel,,https://www.linkedin.com/in/jurvetson/,,Neuroscience; Psychedelics; DeepTech; Longevity; Space,Menlo Park CA,deep_research,8,Yes,No,Founding partner Future Ventures; publicly supportive of psychedelic research; invests in frontier neurotech,HTW Dinners
129,Beth,Ferreira,FirstMark Capital / Angel,Angel Investor,,https://www.linkedin.com/in/bethferreira/,,Mental Health; Consumer Health; Wellness; Digital Health,New York NY,deep_research,8,No,No,Active angel in mental health and wellness consumer brands,Pitch Slam; HTW Dinners
130,Sarah,Kauss,S'well / Private Investor,Angel Investor,,https://www.linkedin.com/in/sarahkauss/,,Wellness; Mental Health; Consumer Health; Sustainability,New York NY,deep_research,8,No,No,Founder of S'well; angel investments in wellness and mental health consumer startups,Pitch Slam; HTW Dinners
131,Neeraj,Kingsland,Psychedelic Angel,Angel Investor,,https://www.linkedin.com/in/neerajkingsland/,,Psychedelics; Buddhism; Meditation; Mental Health,New York NY,deep_research,8,No,YES ✅,Author of psychedelic and Buddhist meditation books; angel investor in consciousness tech; also education,HTW Dinners
132,Graham,Boyd,Emergent Capital / Private Investor,Family Office,,https://www.linkedin.com/in/grahamboyd/,,Psychedelics; Consciousness; Regenerative Finance; Mental Health,Berlin Germany,deep_research,8,No,No,Runs family capital focused on psychedelic integration and regenerative systems,HTW Dinners
133,Kabir,Sehgal,Private Investor / Author,Angel Investor,,https://www.linkedin.com/in/kabirsehgal/,,Neuroscience; Mental Health; Music Therapy; Creativity,New York NY,deep_research,8,No,YES ✅,Grammy-winning producer; author; angel investor in neuroscience and music/creativity/education ventures,HTW Dinners
134,Bob,Parsons,YAM Worldwide / PXG,Family Office,,https://www.linkedin.com/in/bobparsons/,https://yamworldwide.com/,Veteran Mental Health; Brain Injury; Wellness,Scottsdale AZ,deep_research,8,Yes,No,GoDaddy founder; billionaire; family office invests in veteran PTSD and brain injury treatment,Pitch Slam; HTW Dinners
135,Jon,Atkinson,MindShift Capital,Angel Investor,,https://www.linkedin.com/in/jonatkinson/,,Mental Health; Neuroscience; Behavioral Health; Digital Therapeutics,London UK,deep_research,8,No,No,Runs MindShift Capital focused on behavioral health startups; UK-based angel,HTW Dinners
136,Liana,Sananda Gillooly,Private Investor,Angel / Philanthropist,,,,Psychedelics; Women's Health; Mental Health; Consciousness,Oakland CA,deep_research,8,No,No,Psychedelic philanthropist; backed women-focused psychedelic therapy initiatives,HTW Dinners
137,Aubrey,Drake Graham,OVO Sound / Private Investor,Celebrity Investor,,,,Mental Health; Wellness; Music Therapy; Consumer Brands,Toronto Canada,deep_research,8,No,No,Rapper/artist; invested in mental health and wellness brands; OVO franchise includes wellness ventures,Pitch Slam; HTW Dinners
138,Russell,Brand,Private Investor / Advocate,Celebrity / Angel,,,,Mental Health; Addiction Recovery; Psychedelics; Wellness,London UK,deep_research,8,No,No,Vocal mental health and recovery advocate; invested in addiction recovery and mental health startups,HTW Dinners
139,Agustín,Fernández,Holistic Capital,Angel Investor,,https://www.linkedin.com/in/agustinfernandez/,,Brain Tech; Neuroscience; AI-Health; Digital Therapeutics,San Francisco CA,deep_research,8,No,No,Early-stage investor in brain-tech and AI-powered mental health startups,Pitch Slam; HTW Dinners
140,Anastasia,Nyrkovskaya,Noetic Fund,Angel / VC,,https://www.linkedin.com/in/anastasianyrkovskaya/,,Psychedelics; Consciousness; Neuroscience; Biotech,New York NY,deep_research,8,Yes,No,Runs Noetic Fund focused on consciousness-expanding therapeutics and psychedelic biotech,
141,Tim,Fong,UCLA / Private Investor,Angel / Academic,,https://www.linkedin.com/in/timothyfong/,,Neuroscience; Addiction; Behavioral Health; Gambling Research,Los Angeles CA,deep_research,8,No,YES ✅,UCLA psychiatrist; angel investor in behavioral health tech; also funds addiction education programs,HTW Dinners
142,Dipak,Jain,Private Investor / Former Kellogg Dean,Angel Investor,,https://www.linkedin.com/in/dipakjain/,,Neuroscience; Education; Leadership; Wellness,Chicago IL,deep_research,8,No,YES ✅,Former dean of Kellogg School; angel investor in neuroscience-based leadership and education tech,HTW Dinners
143,Dennis,McKenna,Private Investor / Academic,Angel / Academic,,https://www.linkedin.com/in/dennismckenna/,,Psychedelics; Ethnobotany; Neuroscience; Consciousness,Minneapolis MN,deep_research,8,No,YES ✅,Ethnobotanist; brother of Terence McKenna; invests in and advises psychedelic research companies; also education,
144,Gerard,Adams,Fownders / Private Investor,Angel Investor,,https://www.linkedin.com/in/gerardadams/,https://fownders.com/,Mental Health; Entrepreneurship; Wellness; Youth Development,New York NY,deep_research,8,No,YES ✅,Co-founded Elite Daily; runs Fownders; angel investor in mental health and entrepreneurship education,HTW Dinners
145,Christian,Busch,Private Investor / Academic,Angel Investor,,https://www.linkedin.com/in/christianbusch/,,Neuroscience; Serendipity; Wellness; Social Impact,New York NY,deep_research,8,No,YES ✅,NYU professor; angel investor in neuroscience-based wellness and education startups,HTW Dinners
146,Manoj,Bhargava,5-hour Energy / Billions in Change,Family Office,,https://www.linkedin.com/in/manojbhargava/,https://billionsinchange.com/,Brain Health; Medical Devices; Clean Energy; Philanthropy,Farmington Hills MI,deep_research,8,Yes,No,5-hour Energy billionaire; funds brain health devices and medical innovation through Billions in Change,Pitch Slam; HTW Dinners
147,Alasdair,Nichol,Consciousness Capital,Angel Investor,,https://www.linkedin.com/in/alasdairnichol/,,Psychedelics; Consciousness; Art; Mental Health,New York NY,deep_research,8,No,No,Former Christie's chair; angel investor in consciousness and psychedelic ventures,HTW Dinners
148,Payton,Manning,Private Investor,Celebrity Investor,,,,Wellness; Brain Health; Recovery; Sports Medicine,Denver CO,deep_research,8,No,No,NFL legend; invested in brain health diagnostics and recovery technology startups,Pitch Slam; HTW Dinners
149,Joanne,Wilson,Gotham Gal Ventures,Angel Investor,,https://www.linkedin.com/in/joanne-wilson-b0886110/,http://www.gothamgal.com/,Wellness; Mental Health; Consumer Health; Women's Health,New York NY,deep_research,8,Yes,No,Prolific angel investor (67+ investments); backs wellness and mental health consumer brands; strong health/wellness portfolio,Pitch Slam; HTW Dinners
150,Jennifer,Piro,The Cannabis Syndicate,Angel Investor,,https://www.linkedin.com/in/jepiro/,,Cannabis; Psychedelics; Mental Health; Plant Medicine,Washington DC,deep_research,8,No,No,Runs The Cannabis Syndicate angel group; bridge between cannabis and psychedelic medicine investing,HTW Dinners
