Name,Type,AUM,VC/PE Allocation,Location,Key Contact,Contact Title,Contact LinkedIn,Contact Email,Website,Known VC Fund Commitments,Sector Preference,Stage Preference,Minimum Commitment Size,Open to Emerging Managers?,Notes
Goldman Sachs Asset Management (Vintage/PE),Fund-of-Funds,$60.0B+ (PE FoF/secondary),PE/VC allocation within GSAM,"New York, NY, USA",Harold Hope,Head of PE Investing,linkedin.com/in/haroldhope,,gsam.com,"Massive GP network through Vintage funds",Broad,All stages,$10M+,Unknown,"Acquired Petershill (GP stakes); large PE/VC platform"
Morgan Stanley AIP,Fund-of-Funds,$45.0B (PE),PE/VC allocation within AIP,"New York, NY, USA",John Klopp,Head of AIP,linkedin.com/in/johnklopp,,morganstanley.com,"Broad PE/VC manager portfolio",Broad,Growth & buyout,$10M+,No,"Institutional approach; prefers established managers"
JP Morgan Private Equity Group,Fund-of-Funds,$35.0B (PE),PE/VC allocation within AM,"New York, NY, USA",John Wilkerson,Head of PE,linkedin.com/in/johnwilkerson-jpm,,jpmorgan.com/PE,"Broad PE/VC relationships",Broad,Growth & buyout,$10M+,Unknown,"Large platform; some emerging manager interest through specific programs"
Fairview Capital Partners,Fund-of-Funds,$10.0B,100% VC/growth equity — diverse managers,"West Hartford, CT, USA",JoAnn Price,Co-Founder & Managing Partner,linkedin.com/in/joannprice,,fairviewcapital.com,"Diverse & emerging VC managers; gatekeeper for many pensions",Broad — diverse managers,All stages,$2M+,Yes,"PREMIER diverse/emerging manager FoF; manages money for CT pension, others; JoAnn Price is legendary; CRITICAL TARGET"
MetLife Investment Management,Insurance,$680.0B (general account),~3% PE/VC (~$20B),"Whippany, NJ, USA",Steven Goulart,EVP & CIO,linkedin.com/in/stevengoulart,,metlife.com/investments,"Large established PE managers",Broad — income-oriented,Growth & buyout; limited VC,$25M+,No,"Insurance constraints (regulatory capital); prefers yield-generating PE"
Prudential Financial (PGIM Private Alternatives),Insurance,$1.4T (PGIM total),~2% PE/VC (~$28B PGIM PE),"Newark, NJ, USA",David Hunt,President & CEO of PGIM,linkedin.com/in/davidhunt-pgim,,pgim.com,"Large buyout & growth managers",Broad,Growth & buyout,$25M+,No,"Massive platform; insurance regulatory constraints; minimal VC"
AIG Investments,Insurance,$370.0B,~3% PE/VC (~$11B),"New York, NY, USA",CIO — rotates frequently,,,,aig.com,"Blackstone, Apollo (former parent relationship)",Broad,Buyout,$25M+,No,"Post-financial crisis restructured; conservative"
New York Life Investments,Insurance,$400.0B,~2% PE/VC (~$8B),"New York, NY, USA",Anthony Malloy,CEO of NY Life Investments,linkedin.com/in/anthonymalloy,,newyorklifeinvestments.com,"Investment-grade focused; limited PE",Broad — conservative,Buyout only,$25M+,No,"Very conservative; mutual company; limited VC appetite"
MassMutual,Insurance,$320.0B,~5% PE/VC (~$16B),"Springfield, MA, USA",Michael Fanning,EVP,linkedin.com/in/michaelfanning,,massmutual.com,"Haveli Investments (internal arm), Barings",Broad,Growth & buyout,$10M+,Unknown,"Has made some VC investments through Haveli; more open than typical insurance"
Northwestern Mutual,Insurance,$310.0B,~3% PE/VC (~$9.3B),"Milwaukee, WI, USA",Tim Gerend,EVP & CIO,linkedin.com/in/timgerend,,northwesternmutual.com,"Has venture arm (NM Capital); backed some tech VCs",Tech & healthcare,Growth — some early-stage through NM Capital,$5M+,Yes,"Has dedicated venture arm; more open to emerging managers than typical insurance; worth exploring"
TIAA (Nuveen Private Markets),Insurance,$1.3T (TIAA total),~5% PE/VC through Nuveen (~$65B private),"New York, NY, USA",Jessica Reif Ehrlich,Head of Private Markets (Nuveen),linkedin.com/in/jessicareifehrlich,,nuveen.com,"Broad PE portfolio through Nuveen/Churchill",Broad,Growth & buyout,$25M+,Unknown,"TIAA/Nuveen combined platform; primarily buyout/growth"
Allianz Capital Partners,Insurance,$1.0T (Allianz group),~3% PE/VC allocation,"Munich, Germany",Dominik Damaschke,Head of PE,linkedin.com/in/dominikdamaschke,,allianz.com,"European and global PE managers",Broad — European tilt,Growth & buyout,$25M+,No,"German insurance giant; regulatory constraints; prefers established managers"
AXA Investment Managers (AXA IM Alts),Insurance,$900.0B (AXA IM),~5% PE/VC in alternatives,"Paris, France",Christoph Junge,Head of PE,linkedin.com/in/christophjunge,,axa-im.com,"Global PE portfolio; some VC exposure",Broad — European tilt,Growth & buyout,$10M+,Unknown,"French insurance giant; alternatives platform growing"
Zurich Insurance Group,Insurance,$400.0B,~2% PE/VC (~$8B),"Zurich, Switzerland",Claudia Stanghellini,Head of PE/VC,linkedin.com/in/claudiastanghellini,,zurich.com,"European and global PE/VC managers",Broad,Growth & buyout; some VC,$10M+,Unknown,"Swiss insurer; growing VC allocation; worth monitoring"
Aflac Global Investments,Insurance,$140.0B,~3% PE/VC (~$4.2B),"Columbus, GA / Tokyo, Japan",Brad Dyslin,Global CIO,linkedin.com/in/braddyslin,,aflac.com,"Conservative PE managers",Broad — conservative,Buyout,$10M+,No,"Japan/US focused; conservative insurance approach"
Cambridge Associates,Wealth Manager,$500.0B+ advisory,Advisory — no direct AUM per se,"Boston, MA, USA",David Druley,CEO,linkedin.com/in/daviddruley,,cambridgeassociates.com,"Advises endowments/foundations on GP selection; gatekeeper",Broad,All stages,N/A (advisory),Yes,"CRITICAL GATEKEEPER; advises many endowments/foundations on VC commitments; their recommendation can unlock 10+ LPs"
Monument Group,Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","New York / London",Todd Kelley,Managing Director,linkedin.com/in/toddkelley-monument,,monument-group.com,"Places PE/VC funds with institutional LPs; raised $100B+",Broad,All stages,$500K-$1M placement fee,Yes,"Placement agent for emerging & established managers; can connect to their LP network"
MVision,Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","London, UK",Mounir Guen,CEO & Founder,linkedin.com/in/mounirguen,,mvision.com,"Leading European placement agent; places VC/PE funds",Broad — European tilt,All stages,$500K+ placement fee,Yes,"European leader in placement; connected to sovereign wealth funds & European pensions"
Eaton Partners (now Stifel),Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","Rowayton, CT, USA",Peter Martenson,Managing Director,linkedin.com/in/petermartenson,,eatonpartners.com,"Placed $55B+ for PE/VC managers",Broad,All stages,$500K+ placement fee,Yes,"Now part of Stifel; strong GP placement track record; works with emerging managers"
Park Hill Group (part of PJT Partners),Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","New York, NY, USA",Kevin Kotler,Partner,linkedin.com/in/kevinkotler,,parkhillgroup.com,"Top-tier placement agent; places for established & emerging GPs",Broad,All stages,$500K+ placement fee,Yes,"Premier placement agent; part of PJT Partners; strong institutional LP relationships"
Rede Partners,Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","London, UK",Jeremy Golding,Founder & Managing Partner,linkedin.com/in/jeremygolding,,redepartners.com,"European-focused placement; placed €30B+",Broad — European focus,All stages,$500K+ placement fee,Yes,"Strong European LP network; emerging manager friendly"
Triago,Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","Paris / New York",Antoine Dréan,Founder & Chairman,linkedin.com/in/antoinedréan,,triago.com,"Global placement agent; PE/VC fund placement",Broad — global,All stages,$500K+ placement fee,Yes,"One of the oldest independent placement agents; global LP rolodex"
Probitas Partners,Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","San Francisco, CA, USA",Kelly DePonte,Managing Director,linkedin.com/in/kellydeponte,,probitaspartners.com,"VC/PE placement + market research",Broad,All stages,$250K+ placement fee,Yes,"Excellent LP market research reports; good for emerging VC managers; Kelly DePonte very knowledgeable"
Campbell Lutyens,Wealth Manager / Placement Agent,N/A — placement agent,"Placement agent, not investor","London / New York",Sam Kay,Partner,linkedin.com/in/samkay-cl,,campbelllutyens.com,"Global PE/VC placement; mid-market specialist",Broad,All stages,$500K+ placement fee,Yes,"Strong mid-market focus; good for first-time / emerging managers raising $50M-$500M"
Alphabet (Google) — GV & CapitalG LP investments,Corporate LP,$300.0B+ (Alphabet cash/investments),Undisclosed direct LP commitments,"Mountain View, CA, USA",Ruth Porat,President & CIO of Alphabet,linkedin.com/in/ruthporat,,abc.xyz,"GV and CapitalG invest directly; Alphabet also LP in select VC funds",Tech — AI & cloud,All stages,$10M+,Unknown,"Primarily invests through GV/CapitalG; some strategic LP positions in VC funds"
Apple,Corporate LP,$160.0B+ (cash/investments),Very limited LP activity,"Cupertino, CA, USA",Luca Maestri,SVP & CFO,linkedin.com/in/lucamaestri,,apple.com,"Very selective; minimal external VC LP activity",Hardware & health tech,N/A,$25M+,No,"Apple rarely acts as LP; prefers acquisitions; not a realistic LP target"
Samsung Venture Investment Corporation (SVIC),Corporate LP,$15.0B+ (Samsung venture/LP portfolio),Active VC LP and direct investor,"Seoul, South Korea / San Jose, CA",Young Sohn (former),President & CSO (former),linkedin.com/in/youngsohn-samsung,,samsung.com/svic,"LP in multiple global VC funds; also direct investing",Hardware & semiconductors & health,All stages,$5M+,Yes,"Very active corporate LP/CVC; more open than most corporates; Samsung NEXT also active"
Intel Capital,Corporate LP,$15.0B+ (invested to date),Active VC LP and direct investor,"Santa Clara, CA, USA",Mark Rostick,VP & President of Intel Capital,linkedin.com/in/markrostick,,intelcapital.com,"LP in select VC funds; primarily direct investor",Semiconductors & AI & edge computing,All stages,$5M+,Yes,"Very active CVC; does some LP investing; interested in AI/semiconductor-adjacent funds"
Cisco Investments,Corporate LP,$10.0B+ (investment portfolio),Active LP and direct investor,"San Jose, CA, USA",Mark Patterson,SVP & Chief Strategy Officer,linkedin.com/in/markpatterson-cisco,,cisco.com/c/en/us/about/corporate-strategy-office,"LP in networking/security VC funds; primarily direct",Networking & cybersecurity,All stages,$5M+,Unknown,"Strategic investor; LP in select funds aligned with Cisco strategy"
Salesforce Ventures,Corporate LP,$5.0B+ (invested),Active LP and direct investor,"San Francisco, CA, USA",Alex Kayyal,Managing Partner (International),linkedin.com/in/alexkayyal,,salesforceventures.com,"LP in enterprise SaaS-focused VC funds; large direct portfolio",Enterprise SaaS & AI,All stages,$5M+,Yes,"One of most active CVC LPs; backs emerging enterprise-focused managers"
Microsoft (M12),Corporate LP,$10.0B+ (estimated portfolio),Active LP and direct investor,"Redmond, WA, USA",Nagraj Kashyap,Former head (M12 leadership rotates),linkedin.com/in/nagrajkashyap,,m12.vc,"LP in select VC funds; M12 primarily direct investor",Enterprise & AI & cloud,Early & growth,$5M+,Unknown,"M12 does some LP investing; strategic focus on Microsoft ecosystem"
GIC Private Limited,Sovereign Wealth Fund,$800.0B+,~15% PE/VC (~$120B),"Singapore",Lim Chow Kiat,CEO,linkedin.com/in/limchowkiat,,gic.com.sg,"Sequoia, a16z, KKR, Warburg Pincus, 100+ GP relationships",Broad — global,All stages,$25M+,Unknown,"One of world's largest SWFs; very active PE/VC LP; sophisticated team"
Temasek Holdings,Sovereign Wealth Fund,$380.0B,~30% PE/VC + direct,"Singapore",Dilhan Pillay Sandrasegara,CEO,linkedin.com/in/dilhanpillay,,temasek.com.sg,"Direct + LP in Sequoia, many global VCs",Tech & healthcare & sustainability,All stages,$25M+,Unknown,"Unique hybrid model: direct + LP; very active in venture"
Abu Dhabi Investment Authority (ADIA),Sovereign Wealth Fund,$990.0B,~10% PE (~$99B),"Abu Dhabi, UAE",Hamad Al Hurr Al Suwaidi,Head of PE,linkedin.com/in/hamadalsuwaidi,,adia.ae,"KKR, TPG, Carlyle, established managers",Broad — global,Growth & buyout; limited VC,$50M+,No,"One of largest SWFs; very institutional; prefers established managers"
Mubadala Investment Company,Sovereign Wealth Fund,$300.0B,~15% PE/VC (~$45B),"Abu Dhabi, UAE",Ibrahim Ajami,Head of Ventures,linkedin.com/in/ibrahimajami,,mubadala.com,"Mubadala Ventures + LP in global VCs",Tech & healthcare & aerospace,All stages,$10M+,Yes,"More active in VC than most SWFs; has emerging manager interest; Mubadala Ventures is direct arm"
Alaska Permanent Fund Corporation,Sovereign Wealth Fund,$80.0B,~15% PE/VC (~$12B),"Juneau, AK, USA",Deven Mitchell,Executive Director,linkedin.com/in/devenmitchell,,apfc.org,"Diverse PE/VC manager portfolio",Broad,All stages,$10M+,Yes,"Has emerging manager program; more accessible than typical SWF"
Kuwait Investment Authority (KIA),Sovereign Wealth Fund,$750.0B,~8% PE (~$60B),"Kuwait City, Kuwait",Ahmad Al-Sabah,Managing Director,linkedin.com/in/ahmadalsabah,,kia.gov.kw,"Large established PE managers",Broad,Buyout & growth,$50M+,No,"Conservative; prefers established managers"
Norway Government Pension Fund Global (NBIM),Sovereign Wealth Fund,$1.7T,~1% unlisted equity (growing),"Oslo, Norway",Nicolai Tangen,CEO of NBIM,linkedin.com/in/nicolaitangen,,nbim.no,"Growing unlisted equity allocation; mostly public markets",Broad — ESG-focused,Growth & late-stage,$50M+,No,"World's largest SWF; just beginning PE/VC; very institutional"
CPP Investments (Canada Pension Plan),Sovereign Wealth Fund,$575.0B,~20% PE (~$115B),"Toronto, Canada",John Graham,President & CEO,linkedin.com/in/johngraham-cppib,,cppinvestments.com,"Global PE/VC portfolio; Sequoia, a16z, many global GPs",Broad — global,All stages,$25M+,Unknown,"One of world's most sophisticated pension/SWF investors; growing VC allocation"
British Columbia Investment Management (BCI),Sovereign Wealth Fund,$250.0B,~14% PE/VC (~$35B),"Victoria, BC, Canada",Gordon Fyfe,CEO & CIO,linkedin.com/in/gordonfyfe,,bci.ca,"Global PE/VC fund portfolio",Broad,All stages,$15M+,Unknown,"Sophisticated Canadian pension; growing VC exposure"
Ontario Teachers' Pension Plan (OTPP),Sovereign Wealth Fund,$250.0B,~18% PE (~$45B),"Toronto, Canada",Jo Taylor,CEO,linkedin.com/in/jotaylor-otpp,,otpp.com,"Direct + LP in established managers",Broad — direct focus,Growth & buyout; direct deals,$25M+,No,"Prefers direct deals; very selective on fund commitments"
Emory Investment Management (EIM),University Endowment,$11.0B,~25% PE/VC (~$2.75B),"Atlanta, GA, USA",Mary Cahill,CIO,linkedin.com/in/marycahill,,emory.edu,"Healthcare VCs, life sciences managers",Healthcare & life sciences,All stages,$5M+,Yes,"Duplicate cleaned — see Emory above. Listed separately as EIM manages broader pool"
University of Pittsburgh,University Endowment,$5.6B,~20% PE/VC (~$1.1B),"Pittsburgh, PA, USA",Greg Scott,CIO,linkedin.com/in/gregscott-pitt,,pitt.edu,"Innovation Works, Pittsburgh-based VCs",Life sciences & tech,All stages,$3M+,Yes,"Pittsburgh innovation ecosystem; has backed regional emerging managers"
University of Minnesota Foundation,University Endowment,$4.0B,~15% PE/VC (~$600M),"Minneapolis, MN, USA",Stuart Mason,CIO,linkedin.com/in/stuartmason-umf,,give.umn.edu,"Regional and national VCs",Healthcare & medtech,All stages,$3M+,Yes,"Medical device corridor; interested in healthcare innovation"
Boston University,University Endowment,$3.3B,~18% PE/VC (~$594M),"Boston, MA, USA",Investment team,,,,bu.edu,"Boston-area VCs",Tech & healthcare,All stages,$3M+,Unknown,"Growing endowment; Boston VC ecosystem access"
New York University,University Endowment,$5.6B,~18% PE/VC (~$1.0B),"New York, NY, USA",Kathleen McGowan,SVP Finance,linkedin.com/in/kathleenmcgowan-nyu,,nyu.edu,"NYC-based VCs, diverse managers",Tech & healthcare,All stages,$5M+,Unknown,"NYC location; strong alumni network in finance"
Purdue University,University Endowment,$3.8B,~15% PE/VC (~$570M),"West Lafayette, IN, USA",Investment Committee,,,,purdue.edu/treasurer,"Midwest VCs, Purdue Research Foundation-connected",Engineering & agriculture & tech,Early-stage,$3M+,Yes,"Strong engineering programs; Purdue Research Foundation active"
Texas A&M University System,University Endowment,$18.0B+ (system),~15% PE/VC (~$2.7B),"College Station, TX, USA",Russell Cain,CIO,linkedin.com/in/russellcain,,tamus.edu,"Texas-based managers, energy VCs",Energy & agriculture & tech,All stages,$10M+,Unknown,"Large Texas system; energy sector connections"
Iowa PERS (IPERS),Pension Fund,$42.0B,~8% PE (~$3.4B),"Des Moines, IA, USA",Greg Samorajski,CEO,linkedin.com/in/gregsamorajski,,ipers.org,"Primarily through FoFs",Broad,Buyout,$10M+,Unknown,"Moderate PE program; Midwest-based"
North Carolina Retirement Systems,Pension Fund,$115.0B,~8% PE (~$9.2B),"Raleigh, NC, USA",Dale Folwell,State Treasurer,linkedin.com/in/dalefolwell,,nctreasurer.com,"Emerging managers program, Research Triangle VCs",Broad,All stages,$10M+,Yes,"Has emerging manager initiative; Research Triangle connections"
South Carolina Retirement System (RSIC),Pension Fund,$38.0B,~12% PE (~$4.6B),"Columbia, SC, USA",Michael Hitchcock,CEO & CIO,linkedin.com/in/michaelhitchcock,,rsic.sc.gov,"Diversified PE program",Broad,Growth & buyout,$5M+,Unknown,"Smaller pension; building out PE"
Tennessee Consolidated Retirement System,Pension Fund,$65.0B,~10% PE (~$6.5B),"Nashville, TN, USA",Michael Brakebill,CIO,linkedin.com/in/michaelbrakebill,,treasury.tn.gov,"Nashville healthcare VCs, established managers",Healthcare (Nashville hub),Growth & buyout,$10M+,Unknown,"Nashville healthcare capital; potential healthcare fund interest"
Arizona PSPRS,Pension Fund,$15.0B,~12% PE (~$1.8B),"Phoenix, AZ, USA",Mark Steed,Administrator,linkedin.com/in/marksteed,,psprs.com,"Smaller PE program",Broad,Growth & buyout,$3M+,Unknown,"Smaller pension; growing alternatives"
Kamehameha Schools,Foundation,$16.0B,~15% PE/VC (~$2.4B),"Honolulu, HI, USA",Crystal Rose,CEO & Trustee,linkedin.com/in/crystalrose,,ksbe.edu,"Hawaiian & Pacific Rim managers, some mainland VCs",Education & technology,All stages,$5M+,Yes,"Native Hawaiian focused endowment; one of largest private landowners in Hawaii; impact interest"
Surdna Foundation,Foundation,$1.5B,~15% PE/VC (~$225M),"New York, NY, USA",Phillip Henderson,President,linkedin.com/in/philliphenderson,,surdna.org,"Impact & diverse managers",Climate & social justice,All stages,$1M+,Yes,"Small but mission-driven; explicitly seeks emerging/diverse managers; low minimum"
Barr Foundation,Foundation,$3.5B,~15% PE/VC (~$525M),"Boston, MA, USA",Jim Canales,President,linkedin.com/in/jimcanales,,barrfoundation.org,"Climate & education managers",Climate & education,All stages,$2M+,Yes,"Mission-aligned investing; interested in climate-focused emerging managers"
Skoll Foundation,Foundation,$2.0B,~20% PE/VC (~$400M),"Palo Alto, CA, USA",Sally Osberg (former CEO),CEO,linkedin.com/in/sallyosberg,,skoll.org,"Social enterprise & impact VCs",Social entrepreneurship,All stages,$2M+,Yes,"Jeff Skoll (eBay first employee); strong impact VC interest; backs emerging impact managers"
Omidyar Network,Foundation,$1.5B (deployed),~50% VC/impact,"Redwood City, CA, USA",Mike Kubzansky,CEO,linkedin.com/in/mikekubzansky,,omidyar.com,"Impact VCs, emerging tech managers, diverse managers",Financial inclusion & governance & emerging tech,Early-stage,$1M+,Yes,"Pierre Omidyar (eBay founder); impact-first approach; explicitly backs emerging managers"
Ewing Marion Kauffman Foundation,Foundation,$2.5B,~20% PE/VC (~$500M),"Kansas City, MO, USA",Wendy Guillies,President,linkedin.com/in/wendyguillies,,kauffman.org,"Entrepreneurship-focused VCs, Midwest managers",Entrepreneurship & education,Early-stage,$2M+,Yes,"ENTREPRENEURSHIP-FOCUSED foundation; strong interest in backing emerging VC managers; Midwest"
Heising-Simons Foundation,Foundation,$2.5B,~15% PE/VC (~$375M),"Los Altos, CA, USA",Mark Heising,Co-Chair & investment oversight,linkedin.com/in/markheising,,heisingsimons.org,"Science & climate managers, diverse managers",Climate & science & human rights,All stages,$2M+,Yes,"Mark Heising (son of Jim Simons); quantitative orientation; diverse manager interest"
Annie E. Casey Foundation,Foundation,$3.5B,~15% PE/VC (~$525M),"Baltimore, MD, USA",Investment team,,,,aecf.org,"Diverse & emerging managers; impact-focused",Child welfare & economic opportunity,All stages,$2M+,Yes,"Has EXPLICIT emerging/diverse manager program; social impact mandate"
Houston Endowment,Foundation,$2.5B,~18% PE/VC (~$450M),"Houston, TX, USA",Ann Stern,President,linkedin.com/in/annstern,,houstonendowment.org,"Houston-area managers, energy transition VCs",Education & environment & Houston community,All stages,$2M+,Yes,"Houston civic endowment; interested in regional and emerging managers"
Iroquois Valley Farmland REIT,Foundation,~$200M,Impact investing in farmland/ag-tech,"Evanston, IL, USA",David Miller,CEO,linkedin.com/in/davidmiller-iroquois,,iroquoisvalley.com,"Ag-tech VCs, sustainable agriculture",Agriculture & sustainability,Early-stage,$500K+,Yes,"Niche but interesting for ag-tech/sustainability focused funds"
Walton Enterprises (Family Office of Walmart heirs),Family Office,$200.0B+,~5% VC (~$10B+),"Bentonville, AR, USA",Greg Penner,Chair of Walmart Board / Family Investment,linkedin.com/in/gregpenner,,waltonfamilyfoundation.org,"Madrone Capital, numerous VC commitments",Retail tech & sustainability & education,All stages,$10M+,Unknown,"One of world's largest family offices; connected to Walton Family Foundation"
Emerson Collective (Laurene Powell Jobs),Family Office,$5.0B+,~30% VC/impact (~$1.5B+),"Palo Alto, CA, USA",Laurene Powell Jobs,Founder & President,linkedin.com/in/laurenepowelljobs,,emersoncollective.com,"Climate VCs, education tech, healthcare innovation",Climate & education & immigration & health,All stages,$5M+,Yes,"Laurene Powell Jobs (Steve Jobs' widow); very active VC LP; interested in impact-driven emerging managers"
Blue Pool Capital (Jack Ma family office),Family Office,$5.0B+,~40% VC,"Hong Kong, China",Oliver Weisberg,CEO,linkedin.com/in/oliverweisberg,,N/A,"Asian and global VC funds; Sequoia China connections",Tech — China/global,All stages,$5M+,Unknown,"Jack Ma/Joe Tsai (Alibaba) family office; active VC LP globally"
Bezos Expeditions (Jeff Bezos family office),Family Office,$15.0B+ (post-Amazon sales),~20%+ VC direct & LP,"Seattle, WA, USA / Miami, FL",Jeff Bezos,Founder,linkedin.com/in/jeffbezos,,bezosexpeditions.com,"Direct investments in startups; select LP positions",Space & biotech & media & AI,All stages,$10M+,Unknown,"Very selective; primarily direct investor; some LP positions in top VCs"
Cascade Investment (Bill Gates family office),Family Office,$70.0B+,~5% PE/VC,"Kirkland, WA, USA",Michael Larson,CIO,linkedin.com/in/michaellarson-cascade,,N/A (private),"Large established PE/growth managers",Broad — diversified,Growth & buyout,$25M+,No,"Primarily manages Gates Foundation Trust; very institutional; not accessible for emerging managers"
Mousse Partners (Wertheimer family — Chanel owners),Family Office,$30.0B+,~5% VC,"New York / Paris",Investment team,,,,N/A (very private),"Select VC/PE managers; Paris & NYC connections",Luxury & consumer & tech,Growth,$10M+,Unknown,"Very private; Chanel owners; selective VC LP activity"
Soros Fund Management,Family Office,$28.0B,~10% PE/VC (~$2.8B),"New York, NY, USA",Dawn Fitzpatrick,CEO & CIO,linkedin.com/in/dawnfitzpatrick,,sfrm.com,"Diverse VC/PE portfolio; global mandate",Broad — global macro lens,All stages,$5M+,Unknown,"George Soros family office (converted from hedge fund); sophisticated; Dawn Fitzpatrick leads"
Tiger Management (Julian Robertson legacy),Family Office,$5.0B+ (seeded many Tiger Cubs),Various — VC LP & seeder,"New York, NY, USA",Alex Robertson,Julian Robertson's son — legacy management,linkedin.com/in/alexrobertson,,N/A,"Seeded Tiger Global, Viking, Lone Pine, Coatue (Tiger Cubs)",Tech — growth,Growth & late-stage,$10M+,Unknown,"Julian Robertson legacy; Tiger Cubs network is one of the most powerful in tech investing"
Michael & Susan Dell Foundation,Family Office / Foundation,$6.0B,~15% PE/VC + Dell Technologies shares,"Austin, TX, USA",Investment team (MSD Capital connection),,,,msdf.org,"MSD Capital manages; tech-oriented managers",Education (foundation) & tech (investing),All stages,$5M+,Unknown,"Connected to MSD Capital (Dell family office); Austin tech ecosystem"
EDBI (Singapore Economic Development Board),Sovereign Wealth Fund / Corporate,$3.0B+,~50% direct + LP in VC,"Singapore",Chu Swee Yeok,CEO,linkedin.com/in/chusweeyeok,,edbi.com,"LP in global VC funds; biomedical & digital economy focus",Biomedical & digital economy,All stages,$5M+,Yes,"Singapore government strategic investor; interested in healthcare/digital economy VCs"
Future Fund (Australia),Sovereign Wealth Fund,$200.0B AUD (~$130B USD),~15% PE/VC (~$19.5B),"Melbourne, Australia",Raphael Arndt,CEO,linkedin.com/in/raphaelarndt,,futurefund.gov.au,"Global PE/VC managers; increasing VC allocation",Broad — global,All stages,$10M+,Unknown,"Australian sovereign wealth fund; growing VC allocation; sophisticated"
New Zealand Super Fund,Sovereign Wealth Fund,$60.0B NZD (~$35B USD),~10% PE/VC (~$3.5B),"Auckland, New Zealand",Matt Whineray,CEO,linkedin.com/in/mattwhineray,,nzsuperfund.nz,"Global PE/VC portfolio; some emerging managers",Broad with sustainability focus,All stages,$5M+,Yes,"Has shown interest in diverse/emerging managers; ESG-conscious"
National Pension Service of Korea (NPS),Sovereign Wealth Fund,$800.0B+ (global),~12% alternatives (~$96B),"Jeonju, South Korea",CIO (rotates — government-appointed),,,,nps.or.kr,"Global PE/VC managers; growing Silicon Valley exposure",Broad — tech growing,Growth & buyout; growing VC,$25M+,Unknown,"World's 3rd largest pension; dramatically increasing alternatives allocation"
Caisse de dépôt et placement du Québec (CDPQ),Sovereign Wealth Fund,$400.0B CAD (~$300B USD),~20% PE (~$60B),"Montreal, Canada",Charles Emond,President & CEO,linkedin.com/in/charlesemond,,cdpq.com,"Large PE/growth portfolio; increasing tech VC",Broad — global; Quebec tilt,Growth & buyout; growing VC,$25M+,Unknown,"Quebec pension manager; one of world's largest; growing VC allocation"
Public Investment Fund of Saudi Arabia (PIF),Sovereign Wealth Fund,$930.0B,~5% PE/VC + direct ($46B+),"Riyadh, Saudi Arabia",Yazeed Al-Humied,Head of MENA & International Investments,linkedin.com/in/yazeedalhumied,,pif.gov.sa,"SoftBank Vision Fund (anchor LP), tech direct investments",Tech & entertainment & healthcare,Growth & late-stage,$50M+,No,"Vision 2030-driven; anchored SoftBank Vision Fund ($45B); prefers large established managers"
Allspring Global Investments (Wells Fargo legacy),Wealth Manager,$500.0B,PE/VC allocation for clients,"San Francisco, CA / Charlotte, NC",Joe Sullivan,CEO,linkedin.com/in/joesullivan-allspring,,allspringglobal.com,"Client advisory on PE/VC allocation",Broad,All stages,Varies (client-directed),Unknown,"Formerly Wells Fargo AM; advises institutional clients on PE/VC"
BlackRock Private Equity Partners,Wealth Manager / Fund-of-Funds,$40.0B (PE),PE/VC FoF + co-invest,"New York, NY, USA",Russell Steenberg,Global Head of PE,linkedin.com/in/russellsteenberg,,blackrock.com,"Large PE/VC manager portfolio; co-investments",Broad,Growth & buyout,$10M+,Unknown,"World's largest asset manager; PE platform growing"
Commonfund,Wealth Manager / Fund-of-Funds,$25.0B (advisory/managed),PE/VC managed for nonprofits,"Wilton, CT, USA",Mark Anson,CEO,linkedin.com/in/markanson,,commonfund.org,"Manages PE/VC portfolios for small-medium endowments/foundations",Broad,All stages,$1M+ (for underlying clients),Yes,"Manages PE/VC for 1000+ nonprofits; IDEAL partner for accessing smaller endowment LPs"
Makena Capital Management,Wealth Manager / Family Office FoF,$20.0B,Multi-asset incl PE/VC,"Menlo Park, CA, USA",Michael Leffell,CEO,linkedin.com/in/michaelleffell,,makenacap.com,"Endowment-style portfolio; VC allocation",Broad,All stages,$5M+,Unknown,"Manages capital for families/foundations endowment-style; Silicon Valley based"
Wilshire Associates,Wealth Manager,$1.4T (advisory),Advisory on PE/VC allocations,"Santa Monica, CA, USA",Jason Schwarz,President,linkedin.com/in/jasonschwarz-wilshire,,wilshire.com,"Advises pensions/endowments on PE/VC manager selection",Broad,All stages,N/A (advisory),Unknown,"Major pension consultant; their recommendation can influence PE/VC allocations"
Mercer (PE/VC consulting),Wealth Manager,$15T+ (advisory),Advisory on PE/VC allocations,"New York, NY, USA (global)",David Scopelliti,Global Head of PE,linkedin.com/in/davidscopelliti,,mercer.com,"Advises global pensions on PE/VC",Broad — global,All stages,N/A (advisory),Unknown,"Part of Marsh McLennan; advises largest global pensions on PE/VC selection"
